timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
25819262,25818219,6.392668e-08,6.574789e-05,0.0030362685,0.0041504963,0.0036812532,0.009177943,659,0,1.6233094,0.53322804,0.12525193,0.0,0.006011323,0.0026128332,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
26028746,26027874,7.257526e-08,5.9380865e-05,0.0023059412,0.0046895808,0.0041514235,0.010003837,659,0,1.7948219,0.53228635,0.1347514,0.0,0.0071326853,0.0021136848,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
26427983,26427216,6.5662874e-08,4.3044452e-05,0.0014860543,0.0048897914,0.005235412,0.011901013,659,0,2.137325,0.5283732,0.15399057,0.0,0.009443286,0.00013840171,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
26628008,26626887,7.4503276e-08,4.4508695e-05,0.0015013868,0.0058315094,0.00642669,0.01485095,659,0,2.3131213,0.52649283,0.15050967,0.0,0.010312105,0.0015414881,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
26827284,26826558,7.777611e-08,4.520551e-05,0.0016704479,0.005667856,0.003024483,0.0068325936,659,0,2.5288773,0.53070754,0.17000484,0.0,0.010312105,0.011106253,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
27027193,27026233,7.6796965e-08,4.769221e-05,0.0015880439,0.005307794,0.004531165,0.008727965,659,0,2.7121296,0.5288829,0.10286902,0.0,0.010688741,0.0006285082,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
27426395,27425572,5.273993e-08,3.9546496e-05,0.001230145,0.004260497,0.0039393264,0.009935743,659,0,3.0660787,0.53145915,0.12799814,0.0,0.010400969,0.0012131508,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
27626258,27625244,4.3096964e-08,3.6381283e-05,0.0011249057,0.004127015,0.004423324,0.011495502,659,0,3.2323515,0.5297449,0.14971045,0.0,0.010097405,0.01359848,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
27820877,27819927,3.6623803e-08,3.3945224e-05,0.0009816478,0.004551569,0.004538213,0.011850563,659,0,3.3766675,0.5269684,0.13917083,0.0,0.009546069,0.008071167,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
28020385,28019595,3.131984e-08,2.984553e-05,0.0008536765,0.0042480687,0.0046267114,0.012083328,659,0,3.5226486,0.525399,0.11209236,0.0,0.00867963,0.0015308943,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,165,1,0,1,0,2,0,0,0,0,0,0,0
