timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
23219715,23219666,4325386,0.06462604,0.070662536,0.023790903,nan,0,3
29218053,29217996,4325386,0.077409215,0.006036498,0.25175747,nan,0,3
30221535,30221483,4325386,0.026276521,-0.06107516,0.29720876,nan,0,3
32218044,32217993,4325386,-0.11291802,0.0042610574,0.14771666,nan,0,3
33220135,33220081,4325386,0.056103922,0.025921432,0.10936715,nan,0,3
35218170,35218116,4325386,-0.029827401,0.003195793,0.062140424,nan,0,3
36218446,36218392,4325386,0.047936894,0.057879366,0.005326322,nan,0,3
38217929,38217870,4325386,-0.25850415,0.008167027,-0.12889698,nan,0,3
39218459,39218407,4325386,-0.057169188,0.051132686,-0.35402286,nan,0,3
41219593,41219542,4325386,0.046871632,0.02272564,-0.39095202,nan,0,3
42216898,42216837,4325386,0.14594121,0.01704423,-0.4154531,nan,0,3
43218884,43218834,4325386,0.16866687,-0.10546117,-0.49037668,nan,0,3
45221380,45221329,4325386,-0.13954963,-0.002840705,-0.45522296,nan,0,3
46219007,46218953,4325386,-0.05645901,0.08415588,-0.45664334,nan,0,3
48218373,48218321,4325386,0.030892666,0.01704423,-0.3380439,nan,0,3
50217869,50217819,4325386,0.13244787,-0.106171355,-0.2833603,nan,0,3
51216871,51216819,4325386,0.022015464,0.04154531,-0.13315804,nan,0,3
52217371,52217321,4325386,-0.07314815,0.0,-0.0149137005,nan,0,3
54218605,54218552,4325386,-0.118954524,0.047226723,-0.01136282,nan,0,3
55220395,55220342,4325386,-0.10048994,0.008167027,-0.025566343,nan,0,3
57218408,57218354,4325386,0.14239034,-0.057879366,-0.024856169,nan,0,3
58218907,58218857,4325386,-0.28691122,0.04154531,0.15730403,nan,0,3
60218431,60218376,4325386,0.050777603,0.023080729,0.2453659,nan,0,3
61218982,61218931,4325386,0.10048994,0.010652644,-0.069597274,nan,0,3
63217008,63216956,4325386,-0.06036498,0.057879366,0.20240022,nan,0,3
64218975,64218920,4325386,-0.038349517,0.053973395,0.25069222,nan,0,3
65216479,65216429,4325386,0.16192017,-0.06675657,0.32064456,nan,0,3
66223194,66223140,4325386,-0.011007732,-0.027341787,0.6341874,nan,0,3
67219161,67219111,4325386,-0.029117227,0.011717908,0.72508997,nan,0,3
68222536,68222484,4325386,-0.071727805,0.05645901,0.77409214,nan,0,3
70217613,70217558,4325386,0.10972223,0.012783172,0.31318772,nan,0,3
71218086,71218032,4325386,0.016689142,0.0035508813,0.3149632,nan,0,3
72220102,72220051,4325386,-0.046516545,-0.052553043,-0.027696872,nan,0,3
73217624,73217568,4325386,-0.13528857,0.048291985,-0.104040824,nan,0,3
75218663,75218611,4325386,0.2063062,-0.088061854,-0.038349517,nan,0,3
76217692,76217633,4325386,-0.16192017,0.20701638,-0.014203525,nan,0,3
78220492,78220440,4325386,-0.101555206,-0.07705412,-0.00071017625,nan,0,3
82219345,82219282,4325386,0.14878193,-0.005326322,-0.029472314,nan,0,3
83220120,83220070,4325386,0.031247756,0.031247756,-0.14203526,nan,0,3
85217960,85217908,4325386,0.16085492,0.048291985,-0.03195793,nan,0,3
86216991,86216937,4325386,-0.007811939,0.006391586,-0.021305287,nan,0,3
88219514,88219457,4325386,-0.031247756,-0.018464582,-0.12889698,nan,0,3
92218679,92218629,4325386,-0.22938693,-0.021660376,-0.25282276,nan,0,3
93217715,93217662,4325386,0.11611381,0.019529847,-0.30395544,nan,0,3
94221208,94221157,4325386,-0.07421342,0.05645901,-0.33626845,nan,0,3
96217773,96217723,4325386,0.08273554,0.07030745,0.10262047,nan,0,3
98217347,98217297,4325386,0.12286049,-0.17328301,-0.17363809,nan,0,3
99217890,99217838,4325386,-0.11185276,-0.06533621,0.020240022,nan,0,3
101217519,101217460,4325386,-0.11682399,-0.088061854,-0.0014203525,nan,0,3
102218040,102217985,4325386,0.19813916,-0.02272564,0.027341787,nan,0,3
104220596,104220544,4325386,0.092322916,0.019529847,0.03373337,nan,0,3
105218407,105218351,4325386,0.10013485,0.018464582,0.012783172,nan,0,3
107219271,107219217,4325386,0.045096193,0.035863902,0.0,nan,0,3
108216763,108216711,4325386,-0.019174758,0.004971234,-0.012428084,nan,0,3
