timestamp,timestamp_sample,x,y,z,r,flaps,aux1,aux2,aux3,aux4,aux5,aux6,data_source
21995343,21994318,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
22296644,22296212,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
22426784,22426356,-0.0,0.0,0.0,0.8333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
22621867,22621436,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
22818040,22817609,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
23015107,23014685,-0.0,0.0,0.08411215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
23056107,23055621,-0.0,0.0,0.098130845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
23428803,23428214,-0.0,0.0,0.12266355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
23621561,23621136,-0.0,0.0,0.12266355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
23774161,23773709,-0.0,0.0,0.12266355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
24009552,24009130,-0.0,0.0,0.096962616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
24207283,24206853,-0.0,0.0,0.11331776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
24422802,24422378,-0.0,0.0,0.14135514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
24594930,24594508,-0.0,0.0,0.1542056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
24791538,24790547,-0.0,0.0,0.15654206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
25029044,25028620,-0.0,0.0,0.1343458,0.07746479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
25226502,25226077,-0.0,0.0,0.12850468,0.09154929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
25400963,25400537,-0.0,0.0,0.11448598,0.10798122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
25616873,25616452,-0.0,0.0,0.11799066,0.11971831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
25811537,25811114,0.0047393367,0.0,0.12850468,0.12676056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
26009975,26009547,0.016587678,0.0070921984,0.13084112,0.13849765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
26225010,26224585,0.11137441,0.0,0.13901868,0.14084508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
26421713,26421282,0.11374407,0.0,0.14018692,0.13380282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
26618882,26618457,0.049763035,0.0,0.14836448,0.12676056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
26811285,26810860,-0.0,0.028368793,0.125,0.11971831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
27005851,27005429,0.056872036,0.0,0.1296729,0.11032864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
27220451,27220014,0.0900474,0.0,0.1296729,0.10798122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
27417218,27416666,0.09478673,0.0,0.1296729,0.1056338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
27610027,27609603,0.0900474,0.0,0.1343458,0.10798122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
27808217,27807792,0.0971564,0.028368793,0.1343458,0.10798122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
28029065,28028640,0.12559241,0.04255319,0.13551402,0.09859155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
28222220,28221717,0.13744076,0.040189125,0.12383178,0.09859155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
28413456,28413032,0.16587678,0.0023640662,0.13785046,0.103286386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
28611701,28611269,0.1421801,0.0,0.1448598,0.103286386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
28829856,28829365,0.09478673,0.0,0.15771028,0.103286386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
29021297,29020830,0.09241706,0.04964539,0.1495327,0.1056338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
29217479,29217055,0.07582939,0.06146572,0.1495327,0.1056338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
29415595,29415168,0.07109005,0.03073286,0.13084112,0.11032864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
29611744,29611220,0.0450237,0.0,0.13084112,0.11032864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
29806181,29805753,0.047393367,0.0,0.13200934,0.11032864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
