timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
22227460,22226924,0.98868924,-0.0015883651,0.005669308,-0.14986297,-0.03629826,0.015253141,0.013041178,-0.014078046,0.010739697,0.37668392,1.1910392e-05,9.52751e-06,1.146056e-06,0.0,0.0,0.0005514285,0.3851379,8.7792795e-09,0.22200416,0.0,0.0,0.0,0.0,0.0,2.4414396e-06,3.114552e-05,3.1151107e-05,0.000108631386,0.056222223,0.05621822,0.07232617,0.0781785,0.078175925,0.4864443,4.4787216e-10,4.480098e-10,1.0621e-09,4.0000004e-06,4.0000004e-06,1.9259508e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
23223426,23222777,0.9891119,-0.0015382885,0.006511848,-0.14701307,-0.1505852,0.030972106,-0.0043296735,-0.07331714,0.018989014,0.3681425,1.2114126e-05,1.0976653e-05,-3.054801e-06,-4.9808038e-09,-7.4551676e-10,0.0005619123,0.3851379,8.7792795e-09,0.22200416,0.0,0.0,0.0,0.0,0.0,2.4958201e-06,2.497729e-05,2.4980445e-05,0.000108650616,0.05810294,0.05810964,0.05818221,0.095423274,0.09542292,0.4482258,2.919106e-10,2.9198588e-10,9.376953e-10,4.0000023e-06,4.0000023e-06,1.3502401e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
24227968,24227610,0.99203134,0.00045713183,0.016241344,-0.12493952,-0.35488263,-0.04300827,-0.15199219,-0.34100187,0.03489283,0.24256453,1.2196552e-05,1.1096277e-05,-2.0213698e-05,-1.6463142e-06,-1.7059958e-07,0.00055053225,0.3851379,8.7792795e-09,0.22200416,0.0,0.0,0.0,0.0,0.0,2.0922257e-06,3.3952405e-05,3.3935183e-05,0.00010795253,0.17788935,0.17794305,0.04763399,0.35064876,0.3506848,0.4148649,2.9136496e-10,2.9144248e-10,8.198026e-10,3.9986057e-06,3.998608e-06,9.792155e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
29216997,29216635,0.8955107,0.011625695,-0.0069942437,0.44483325,-0.33116055,0.283595,-0.44288594,-1.5280066,-0.0011957036,-0.9097162,9.855378e-06,1.7650738e-05,-0.00010455266,-0.0007390139,-0.00022479625,0.00048336157,0.3851379,8.7792795e-09,0.22200416,0.0,0.0,0.0,0.0,0.0,1.5995955e-05,6.0154514e-05,6.0140967e-05,8.194798e-05,0.90505934,0.90517944,0.02405903,9.982904,9.985526,0.32100058,2.087745e-10,2.0874633e-10,4.1161932e-10,2.8195093e-06,2.819353e-06,5.0000093e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
30230896,30226235,0.8238378,0.00478575,-0.0024602907,0.5668001,-0.34676525,0.33595133,-0.4733808,-1.1879158,0.27656662,-1.3734981,9.559414e-06,1.8828025e-05,-0.00010827261,-0.0009073451,-0.00020702131,0.00046629578,0.2919212,-0.00012112925,0.1696082,-0.009354717,-0.003965822,0.001116157,0.0,0.0,0.0008308553,6.0922215e-05,6.0950064e-05,0.0017667675,0.7213719,0.7214155,0.022297265,10.340409,10.34182,0.30767202,1.9352862e-10,1.9344996e-10,3.8937728e-10,2.5094466e-06,2.5099694e-06,5.000009e-08,0.0012461013,3.1891093e-05,0.0012749818,0.0007708442,0.0011032167,0.0012748031,0.0,0.0,24
31222473,31222097,0.751301,0.009978895,-0.0039018292,0.65987283,-0.36785695,0.3581596,-0.22569275,-0.9825518,0.44436723,-1.7261722,9.461875e-06,1.9589492e-05,-0.00010819033,-0.0010130483,-0.00014931346,0.00045645065,0.2874435,-4.2410837e-05,0.17182675,-0.00775399,-0.01039135,0.002905348,0.0,0.0,0.0011282352,6.245901e-05,6.2658626e-05,0.0014716157,0.6128824,0.61333096,0.021615298,9.837125,9.837698,0.3030352,1.8452644e-10,1.8438084e-10,3.9013537e-10,2.2992335e-06,2.3008936e-06,5.0000452e-08,0.0010688994,2.96621e-05,0.0012587972,0.0006239667,0.0009429578,0.0012584038,0.0,0.0,24
32222862,32222451,0.69813687,0.017174136,-0.0041492013,0.71574634,-0.39501944,0.35928547,-0.06993217,-0.8935229,0.55841327,-1.7123666,9.371252e-06,2.0129508e-05,-0.000108110515,-0.001076403,-7.274985e-05,0.0004458926,0.29074392,5.3366486e-05,0.17216372,-0.0117288465,-0.008620191,0.0037708941,0.0,0.0,0.0013296611,6.468144e-05,6.537706e-05,0.0012727933,0.6083861,0.6092879,0.02123086,9.139391,9.139693,0.29187334,1.7948204e-10,1.7925317e-10,3.9093784e-10,2.1425326e-06,2.145626e-06,5.000027e-08,0.0009537215,2.7639933e-05,0.0012549425,0.00043875127,0.0008716629,0.0012545971,0.0,0.0,24
33228192,33227572,0.6546152,0.013462394,0.0014255921,0.75584114,-0.46225035,0.35116142,-0.25647235,-0.8956014,0.6580282,-1.934872,9.201134e-06,2.0574143e-05,-0.00010764119,-0.0011082657,1.65676e-05,0.00043643193,0.29459354,0.00037865574,0.17170529,-0.023313861,-0.009229812,0.005504136,0.0,0.0,0.0007476799,6.757528e-05,6.777777e-05,0.00052885665,0.6668949,0.667427,0.021439875,8.683991,8.683204,0.28611532,1.76203e-10,1.758938e-10,3.9097875e-10,2.0078394e-06,2.0123905e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
35224554,35223913,0.5894158,0.014230402,-0.0071915393,0.8076725,-0.62504256,0.14632522,0.3030371,-1.1748972,0.6006902,-2.004488,8.5121455e-06,2.1236343e-05,-0.00010699765,-0.0011101138,0.00019442572,0.00043354245,0.29459354,0.00037865574,0.17170529,-0.023313861,-0.009229812,0.005504136,0.0,0.0,0.00013867443,7.520109e-05,7.514076e-05,6.554286e-05,0.8423739,0.8425502,0.022648646,9.171896,9.167984,0.28472182,1.7109557e-10,1.7068412e-10,3.9044998e-10,1.7802029e-06,1.7872976e-06,5.000003e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
36229491,36228952,0.5337561,0.0019208944,-0.028447516,0.8451576,-0.35471472,0.13911542,0.15571591,-1.1700351,0.47795403,-1.7326071,7.949404e-06,2.142923e-05,-0.00010707137,-0.0010982379,0.00029345838,0.00043777135,0.29459354,0.00037865574,0.17170529,-0.023313861,-0.009229812,0.005504136,0.0,0.0,0.000107814274,7.975289e-05,7.945524e-05,3.824893e-05,0.8889679,0.88973653,0.023025442,9.329371,9.326882,0.28513154,1.6805525e-10,1.6761464e-10,3.8918965e-10,1.6628433e-06,1.6709545e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
38221286,38220876,0.5767587,-0.009570393,-7.712823e-05,0.81685865,-0.10154704,-0.03554144,0.1631281,-0.63880026,0.30471352,-1.6052152,7.168106e-06,2.1542133e-05,-0.00010574982,-0.0010559581,0.00041930395,0.00044452545,0.29459354,0.00037865574,0.17170529,-0.023313861,-0.009229812,0.005504136,0.0,0.0,6.769109e-05,8.981175e-05,8.942512e-05,3.0202717e-05,0.86902994,0.8709191,0.023426047,9.437101,9.441068,0.2893535,1.6349039e-10,1.6296683e-10,3.8234738e-10,1.4829774e-06,1.4926777e-06,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
39222214,39221535,0.6758536,-0.008653286,-0.010451674,0.736911,0.2708277,-0.3316557,0.064508736,-0.28993168,0.07926943,-1.461954,7.4439986e-06,2.2142765e-05,-0.00010410061,-0.000992119,0.0004000091,0.00045004694,0.30498812,0.00084687263,0.17236583,-0.018108722,-0.021732094,0.0056874887,0.0,0.0,5.1294723e-05,9.386401e-05,9.3654635e-05,3.8759063e-05,0.8203047,0.82132894,0.023275945,9.382868,9.385794,0.28841347,1.6088496e-10,1.5993093e-10,3.7773676e-10,1.4124146e-06,1.4259015e-06,5.000009e-08,0.000434605,2.4010133e-05,0.00065403245,0.00010966368,0.00042458155,0.0006545313,0.0,0.0,24
41227395,41227025,0.89166963,-0.00034349939,-0.00902623,0.45259684,0.4342774,-0.51447445,0.070914395,0.48024917,-0.41973868,-1.8133312,6.8983027e-06,2.5479203e-05,-9.6490876e-05,-0.0006883034,0.00037005133,0.00046012684,0.334221,0.002705428,0.17619278,-0.01413146,0.014043985,0.0076042917,0.0,0.0,2.1974185e-05,0.000104387625,0.00010514592,7.389802e-05,0.7523987,0.7493191,0.023126414,10.004832,9.993623,0.2932426,1.5837173e-10,1.5727172e-10,3.693517e-10,1.3397847e-06,1.3601402e-06,5.0000285e-08,0.0001901786,2.0957938e-05,0.00063627615,6.1672516e-05,0.0001836755,0.0006365141,0.0,0.0,24
42227956,42227354,0.9635379,-0.000118535885,-0.015998486,0.2670937,0.27122387,-0.4579379,-0.08453874,0.5238914,-0.60712206,-1.891751,5.878665e-06,2.6354799e-05,-9.434462e-05,-0.000596352,0.00043467796,0.00046151865,0.33284667,0.0034143585,0.17676832,-0.016757933,0.013320182,0.007583902,0.0,0.0,8.187246e-06,0.00010566024,0.00010707634,8.4788895e-05,0.73011184,0.72230136,0.022650562,9.704762,9.673368,0.29033342,1.5575116e-10,1.5446133e-10,3.595546e-10,1.3090349e-06,1.3360009e-06,5.0000093e-08,9.650612e-05,1.9205523e-05,0.0006341807,4.653169e-05,8.840367e-05,0.00063443644,0.0,0.0,24
43223865,43223341,0.9992827,0.0045270403,-0.007908792,0.036756866,0.13017999,-0.272352,0.15824243,0.44446358,-0.5970925,-1.9234825,5.2846453e-06,2.7516497e-05,-9.1347254e-05,-0.00049163104,0.0004662358,0.00046195477,0.325393,0.00411787,0.17675777,-0.018375358,0.0056617474,0.007138257,0.0,0.0,6.1871634e-07,0.00010248784,0.00010532448,8.8208224e-05,0.7662903,0.7495475,0.0224623,9.433985,9.373325,0.29384214,1.525789e-10,1.5017097e-10,3.4607536e-10,1.2840727e-06,1.3196467e-06,5.000009e-08,5.4369702e-05,1.766182e-05,0.00063270674,3.2164124e-05,4.6124285e-05,0.000632945,0.0,0.0,24
45231233,45228842,0.9178468,-0.00037498644,-0.024357505,-0.39618692,0.09015166,0.29734123,0.09559481,0.069851056,0.3056316,-2.173565,4.888702e-06,3.333992e-05,-6.8708214e-05,3.0873183e-05,0.00037441266,0.00045581345,0.3003749,0.0068478277,0.16897799,-0.021794701,-0.022918958,0.012377344,0.0,0.0,1.1817487e-05,8.3182356e-05,8.7117325e-05,7.269252e-05,1.0455796,0.9943597,0.021615826,9.4026375,9.251234,0.2864418,1.4121733e-10,1.3465641e-10,3.1640013e-10,1.2132275e-06,1.2733101e-06,5e-08,2.4533709e-05,1.551814e-05,0.00062450295,1.5952097e-05,1.6928649e-05,0.00062470726,0.0,0.0,24
46229309,46224831,0.80096966,-0.0021666521,-0.011273287,-0.59859484,-0.0029207172,0.65155363,-0.19075261,-0.08880212,0.87523746,-2.364165,4.1169865e-06,3.5141602e-05,-4.6333877e-05,0.00025535325,0.00039467073,0.00045190175,0.2926448,0.008808301,0.17158978,-0.024839154,-0.03516808,0.009089911,0.0,0.0,2.760282e-05,6.753815e-05,7.074454e-05,5.8032376e-05,1.1950467,1.1285331,0.021731159,9.649727,9.462099,0.28980088,1.3000613e-10,1.2293219e-10,3.0049013e-10,1.1365362e-06,1.2045853e-06,5e-08,1.8404367e-05,1.4765714e-05,0.0006213195,1.2298835e-05,1.17307345e-05,0.00062133744,0.0,0.0,24
48218307,48216966,0.4866381,-0.0006999124,-0.004459947,-0.873592,-0.16505866,1.3808284,-0.016339513,-0.6586553,2.3090103,-2.6169088,1.4080839e-06,3.5590943e-05,-3.1591223e-06,0.00046547706,0.00062528375,0.00044541224,0.2910428,0.011366679,0.17941028,-0.031363994,-0.048545074,-0.00027605315,0.0,0.0,6.1776256e-05,3.9853585e-05,3.9599876e-05,2.5284704e-05,1.3027902,1.2278321,0.021788482,11.194617,10.945542,0.28304267,1.0408265e-10,1.00195095e-10,2.6330363e-10,9.267082e-07,9.842839e-07,5e-08,1.1466267e-05,1.3623979e-05,0.00061239384,8.314292e-06,6.925747e-06,0.0006118201,0.0,0.0,24
50224776,50222474,0.15534817,-0.0032313305,0.0043549803,-0.98784494,-0.009595573,1.510577,0.017036928,-0.5358171,2.9073176,-2.7133453,1.7456878e-07,3.272389e-05,9.364252e-06,0.00025187602,0.00076455675,0.00041626923,0.29582822,0.012238173,0.17479816,-0.03670744,-0.051660527,0.003199668,0.0,0.0,8.140143e-05,2.0710164e-05,2.0150834e-05,4.2846214e-06,1.022248,0.9759129,0.022343233,10.941465,10.734988,0.2857175,8.1094e-11,8.132411e-11,2.1970542e-10,6.839395e-07,7.1038727e-07,5e-08,7.4948425e-06,1.2681929e-05,0.0006029073,6.172016e-06,5.3112867e-06,0.00060221547,0.0,0.0,24
51228162,51227353,0.03523787,-0.007705672,0.0069881394,-0.9993248,-0.018457962,1.2488123,-0.11458622,-0.36723724,2.8676717,-2.6349926,1.809933e-07,3.1192834e-05,1.5104401e-06,9.122265e-05,0.0007840206,0.00039692363,0.29780087,0.012747372,0.17043783,-0.0390869,-0.05135379,0.007429115,0.0,0.0,8.297458e-05,1.5604637e-05,1.5267837e-05,1.0349082e-06,0.85429233,0.8219545,0.022192424,10.519445,10.341495,0.28511444,7.4016966e-11,7.526651e-11,1.9745927e-10,5.8221195e-07,5.981538e-07,5.000009e-08,6.2634376e-06,1.2232671e-05,0.00059598585,5.4106104e-06,4.9684227e-06,0.00059531524,0.0,0.0,24
