timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
64732382,64731414,396825,0.0045855693,0.15908438,0.20885493,3
65223094,65222117,396825,0.044618305,0.16141078,0.21223228,3
65713401,65712433,396825,0.0856509,0.16204454,0.1859459,3
66225198,66224231,396825,0.12569427,0.123540886,0.20656873,3
66715938,66714968,396825,0.17548347,0.06121308,0.19282115,3
67227319,67226346,396825,0.22284253,-0.0046103857,0.1911062,3
67717889,67716862,396825,0.20424725,-0.09084133,0.19401087,3
68229510,68228543,396825,0.16202663,-0.16848429,0.20125267,3
68719542,68718573,396825,0.08854065,-0.22697328,0.17732641,3
69210054,69209030,396825,0.0044948966,-0.25349268,0.18806541,3
69721960,69720958,396825,-0.08170456,-0.26862907,0.16473693,3
70212171,70211202,396825,-0.13750134,-0.25793502,0.16285849,3
70723911,70722933,396825,-0.18721546,-0.22829407,0.18095507,3
71214541,71213552,396825,-0.23745981,-0.22093312,0.1730181,3
71726705,71725705,396825,-0.260811,-0.22068295,0.14223029,3
72216783,72215815,396825,-0.24842265,-0.21301442,0.16439301,3
72728684,72727707,396825,-0.24761666,-0.21394522,0.16192129,3
73219369,73218386,396825,-0.24140802,-0.2096673,0.17073679,3
73709403,73708426,396825,-0.24697712,-0.2299943,0.19003633,3
74221175,74220176,396825,-0.23043633,-0.21577205,0.17727068,3
74711565,74710598,396825,-0.22957572,-0.22069204,0.16887148,3
75222809,75221844,396825,-0.2288428,-0.2290004,0.18016797,3
75713467,75712488,396825,-0.21801452,-0.22148454,0.20082432,3
76225120,76224129,396825,-0.209197,-0.22136547,0.17572966,3
76715304,76714231,396825,-0.21539484,-0.23354323,0.16900375,3
77227160,77226193,396825,-0.21329677,-0.2209048,0.19994007,3
77717822,77716805,396825,-0.22504544,-0.21298195,0.19134617,3
78229532,78228556,396825,-0.22895205,-0.22102195,0.19202293,3
78719734,78718769,396825,-0.21552981,-0.22197807,0.18286419,3
79722520,79721474,396825,-0.21800287,-0.22035572,0.19864579,3
80212589,80211625,396825,-0.22584106,-0.22511022,0.19834642,3
80724457,80723494,396825,-0.21257754,-0.22062822,0.20923433,3
81215094,81214124,396825,-0.22973303,-0.23141676,0.19614758,3
81726841,81725876,396825,-0.20782503,-0.22053143,0.2036437,3
82217441,82216474,396825,-0.22175027,-0.22867464,0.17683694,3
82707916,82706949,396825,-0.21861358,-0.23634958,0.18115495,3
83219427,83218434,396825,-0.19187155,-0.2503961,0.1829666,3
83710403,83709436,396825,-0.18791434,-0.25855818,0.18254699,3
84222089,84221124,396825,-0.16201513,-0.26276696,0.18796574,3
84712308,84711322,396825,-0.14627974,-0.27280533,0.18916938,3
85224277,85223311,396825,-0.13198227,-0.27694798,0.1687358,3
85714954,85713880,396825,-0.12982118,-0.27164406,0.19409236,3
86226724,86225728,396825,-0.12660095,-0.2837107,0.18856087,3
86716785,86715707,396825,-0.12497744,-0.28573325,0.1820486,3
87719392,87718363,396825,-0.11152787,-0.3038593,0.17689434,3
88209804,88208708,396825,-0.09750165,-0.29905948,0.19088867,3
