timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
22226890,22226659,-0.00090393674,-0.00041143113,0.00034895385,0.0,0.0,0.0,0.0,-1.0
22278039,22277814,-0.0006406814,-0.00046455304,0.00068272796,0.0,0.0,0.0,0.0,-1.0
22330467,22330228,-0.0004914896,-0.00022582912,8.5848005e-05,0.0,0.0,0.0,0.0,-1.0
22380385,22380148,-0.000918527,-0.0004854,0.0001002603,0.0,0.0,0.0,0.0,-1.0
22429053,22428816,-0.00078899355,-0.0005094237,0.00022971518,0.0,0.0,0.0,0.0,-1.0
22477715,22477484,-0.00018292875,-0.00035329236,8.8960485e-05,0.0,0.0,0.0,0.0,-1.0
22530136,22529901,-0.00063263427,-0.00052412564,0.00019145434,0.0,0.0,0.0,0.0,-1.0
22578795,22578567,-0.00038774154,-9.9090794e-05,0.0004126625,0.0,0.0,0.0,0.0,-1.0
22627476,22627238,-0.00054438144,-0.00015055927,0.0005404877,0.0,0.0,0.0,0.0,-1.0
22677380,22677154,-0.00058182504,-0.00030398846,0.00038525235,0.0,0.0,0.0,0.0,-1.0
22729805,22729568,-0.0003921122,-0.0004583756,0.00026216812,0.0,0.0,0.0,0.0,-1.0
22778464,22778237,5.811259e-07,-0.0003132349,-0.00015275474,0.0,0.0,0.0,0.0,-1.0
22827142,22826914,-0.0006398657,-0.000112762384,-9.392519e-05,0.0,0.0,0.0,0.0,-1.0
22879553,22879320,-0.001169173,-0.0005533513,-0.00011174759,0.0,0.0,0.0,0.0,-1.0
22929473,22929239,-0.00041206574,-0.00045276483,-7.452905e-05,0.0,0.0,0.0,0.0,-1.0
22978134,22977907,-0.00069790124,-0.0006402562,-0.0005130631,0.03140187,0.0,0.0,0.0,-1.0
23030548,23030320,-0.000949244,-0.00052484963,0.0011489968,0.062149536,0.0,0.0,0.0,-1.0
23079230,23078993,-0.0012054573,-0.0004031852,-0.00074310094,0.070841126,0.0,0.0,0.0,-1.0
23127884,23127659,-0.0052490467,-0.012821789,0.0016254315,0.070841126,0.0,0.0,0.0,-1.0
23177848,23177620,-0.0041742455,-0.0038001456,-0.0008873324,0.070841126,0.0,0.0,0.0,-1.0
