timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
27231174,27230892,-0.1650463,-0.0014280818,-9.69794
27279843,27279563,-0.15193962,-0.004183645,-9.64298
27328536,27328232,-0.12965879,-0.0014818411,-9.510334
27377187,27376903,-0.15536493,-0.019896688,-9.545258
27429591,27429316,-0.14368384,0.009080722,-9.526518
27479520,27479234,-0.14837052,0.022609964,-9.610449
27528197,27527904,-0.20675023,0.010679048,-9.704334
27580615,27580317,-0.15453938,0.033871487,-9.723059
27629261,27628987,-0.1428737,0.015203872,-9.825527
27677962,27677659,-0.17519689,0.0030189736,-9.846464
27727869,27727575,-0.18789357,0.025969869,-9.788056
27780273,27779989,-0.11268463,-0.018160641,-9.712233
27828949,27828661,-0.13718739,-0.004600709,-9.687774
27877608,27877329,-0.16820948,0.022927513,-9.701932
27927528,27927247,-0.15511508,0.022088125,-9.6467495
27979944,27979660,-0.13715129,0.024495363,-9.794453
28028602,28028330,-0.13878442,0.022124002,-9.801498
28077279,28077001,-0.14073727,-0.0021194955,-9.756212
28129698,28129415,-0.16785045,0.0041201655,-9.663516
28180902,28180615,-0.096875556,0.015365743,-9.386506
28228299,28228002,-0.19936205,0.03815072,-9.475814
28280722,28280420,-0.16294603,-0.008631983,-9.438127
28330627,28330334,-0.1518154,0.013309779,-9.371039
28378028,28377756,-0.14355366,0.022375975,-9.4416895
28427975,28427684,-0.17779405,-0.0018426715,-9.605687
28480418,28480094,-0.11559866,-0.021248838,-9.651121
28529055,28528757,-0.17331654,-0.009404973,-9.796415
28577730,28577429,-0.1830542,-0.0115375575,-9.954583
28627696,28627346,-0.17586957,0.0046206256,-10.03232
28680047,28679760,-0.20768882,0.045862865,-10.157514
28728710,28728430,-0.1920934,0.007131507,-10.263585
28777382,28777099,-0.18631802,0.0338973,-10.330791
28829798,28829514,-0.21822226,0.04329975,-10.484885
28878461,28878183,-0.25845516,0.023195188,-10.519563
28929681,28929350,-0.19492123,0.022546174,-10.563849
28980811,28980515,-0.13902149,0.063468724,-10.494799
29029468,29029189,-0.17065229,0.020601923,-10.391594
29078133,29077855,-0.19572523,-0.011771716,-10.386249
29128073,29127773,-0.19285582,0.020082468,-10.344539
29180491,29180187,-0.18117116,0.027813835,-10.392727
29229157,29228858,-0.19231965,0.015195355,-10.331808
29277825,29277527,-0.18435985,-0.013602998,-10.323484
29330227,29329941,-0.132667,-0.024268145,-10.168036
29380143,29379860,-0.1669255,-0.028267782,-10.279955
29428822,29428532,-0.13998379,-3.5119196e-05,-10.048948
29478746,29478451,-0.12802792,-0.022601847,-9.773166
29529885,29529613,-0.19214894,-0.0016378805,-9.669445
29578588,29578284,-0.17596734,-0.042116553,-9.595109
29628480,29628201,-0.1701478,-0.035499703,-9.6024275
29678397,29678120,-0.1590354,-0.03264855,-9.54113
29728329,29728039,-0.14952965,-0.021850025,-9.484873
29778244,29777957,-0.17259353,-0.040743176,-9.485971
29828176,29827875,-0.14800304,-0.019252146,-9.462377
29880596,29880288,-0.15950271,0.0064841122,-9.505382
29929287,29928958,-0.16060176,0.0118763205,-9.551446
29980402,29980124,-0.18122426,0.0019043441,-9.613729
30030323,30030042,-0.13346712,-0.025473252,-9.717389
30081498,30081208,-0.14402246,-0.026154075,-9.768061
30130183,30129881,-0.18618073,-0.0337011,-9.807624
30177603,30177301,-0.21156862,-0.011554592,-9.836432
