timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
22220506,5.2722654,3.3273926,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
22230878,5.293213,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
22720474,5.280322,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
23230470,5.270654,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
23720518,5.2609863,3.3354492,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
24220467,5.2964354,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
24720778,5.294824,3.325781,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
25220505,5.2980466,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
25720522,5.2916017,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
26220490,5.270654,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
26720470,5.2754884,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
27230495,5.264209,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
27721308,5.270654,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
28220483,5.2996583,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
28720469,5.2996583,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
29220523,5.2674317,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
29720469,5.270654,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
30231559,5.2674317,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
30720873,5.2770996,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
31220495,5.269043,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
31721640,5.259375,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
32220684,5.278711,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
32720468,5.2738767,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
33220475,5.2738767,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
33733561,5.2738767,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
34230545,5.2980466,3.3354492,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
34720474,5.2964354,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
35221297,5.2738767,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
35720475,5.293213,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
36220704,5.2770996,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
36721537,5.3125486,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
37231216,5.278711,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
37730470,5.270654,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
38220512,5.2738767,3.3370605,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
38720472,5.2964354,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
39220469,5.269043,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
39720496,5.280322,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
40232839,5.264209,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
40730484,5.2754884,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
41230470,5.270654,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
41732057,5.2609863,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
42221466,5.293213,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
42720470,5.26582,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
43222693,5.28999,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
43731762,5.2996583,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
44231308,5.2754884,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
44732922,5.307715,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
45231364,5.2883787,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
45720474,5.2867675,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
46220780,5.2980466,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
46720469,5.2609863,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
47220477,5.264209,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
47730866,5.2722654,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
48220498,5.2867675,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
48720468,5.264209,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
49722319,5.2674317,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
50220470,5.26582,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
50730547,5.283545,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
51221777,5.269043,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
51720473,5.2819333,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
52221400,5.278711,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
52720478,5.2674317,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
53221809,5.2722654,3.314502,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
53720472,5.2754884,3.3354492,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
54220469,5.2738767,3.3290038,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
54730543,5.26582,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
55230496,5.2916017,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
55720467,5.264209,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
56220470,5.2738767,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
56720468,5.2674317,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
57220471,5.2770996,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
57720561,5.2738767,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
