timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
24126492,0.0,0.0,-0.30732265,0.0,0.9882173,0.0,0.0,-0.15305734,0.0,0.0,-0.07301402,0,0,0,0,0
24176446,0.0,0.0,-0.30732265,0.0,0.9882173,0.0,0.0,-0.15305734,0.0,0.0,-0.07808411,0,0,0,0,0
24226414,0.0,0.0,-0.30732265,0.0,0.9882173,0.0,0.0,-0.15305734,0.0,0.0,-0.08025701,0,0,0,0,0
24276237,0.0,0.0,-0.30732265,0.0,0.9882173,0.0,0.0,-0.15305734,0.0,0.0,-0.08025701,0,0,0,0,0
24326169,0.0,0.0,-0.30732265,0.0,0.9882173,0.0,0.0,-0.15305734,0.0,0.0,-0.08025701,0,0,0,0,0
24376076,0.0,0.0,-0.30732265,0.0,0.9882173,0.0,0.0,-0.15305734,0.0,0.0,-0.0875,0,0,0,0,0
24431039,0.0,0.0,-0.30732265,0.0,0.9882173,0.0,0.0,-0.15305734,0.0,0.0,-0.09764019,0,0,0,0,0
24475956,0.0,0.0,-0.30732265,0.0,0.9882173,0.0,0.0,-0.15305734,0.0,0.0,-0.09764019,0,0,0,0,0
24525841,0.0,0.0,-0.30732265,0.0,0.9882173,0.0,0.0,-0.15305734,0.0,0.0,-0.09908878,0,0,0,0,0
24575776,0.0,0.0,-0.30732265,0.0,0.9882173,0.0,0.0,-0.15305734,0.0,0.0,-0.10488318,0,0,0,0,0
24630753,0.0,0.0,-0.30732265,0.0,0.9882173,0.0,0.0,-0.15305734,0.0,0.0,-0.10560747,0,0,0,0,0
24675626,0.0,0.0,-0.30732265,0.0,0.9882173,0.0,0.0,-0.15305734,0.0,0.0,-0.10705608,0,0,0,0,0
24725510,0.0,0.0,-0.30732265,0.0,0.9882173,0.0,0.0,-0.15305734,0.0,0.0,-0.10705608,0,0,0,0,0
24775426,0.0,0.0,-0.30732265,0.0,0.9882173,0.0,0.0,-0.15305734,0.0,0.0,-0.10705608,0,0,0,0,0
24830376,0.0,0.0,-0.30732265,0.0,0.9882173,0.0,0.0,-0.15305734,0.0,0.0,-0.10705608,0,0,0,0,0
24875332,0.0,0.0,-0.30732265,0.0,0.9882173,0.0,0.0,-0.15305734,0.0,0.0,-0.10705608,0,0,0,0,0
24925281,0.0,0.0,-0.3064006,0.055309728,0.98828775,0.0,0.0,-0.15260172,0.0,0.0,-0.10126168,0,0,0,0,0
24980083,0.0,0.0,-0.30153078,0.10447393,0.9886564,0.0,0.0,-0.15019488,0.0,0.0,-0.09908878,0,0,0,0,0
25025049,0.0,0.0,-0.29389083,0.19051129,0.98922294,0.0,0.0,-0.14641716,0.0,0.0,-0.09401869,0,0,0,0,0
25075023,0.0,0.0,-0.2828337,0.23967548,0.9900173,0.0,0.0,-0.14094596,0.0,0.0,-0.0932944,0,0,0,0,0
25129844,0.0,0.0,-0.26960093,0.24582103,0.9909282,0.0,0.0,-0.13439259,0.0,0.0,-0.0932944,0,0,0,0,0
25179755,0.0,0.0,-0.25745443,0.23967548,0.9917261,0.0,0.0,-0.12837198,0.0,0.0,-0.0932944,0,0,0,0,0
25224736,0.0,0.0,-0.2466736,0.23967548,0.9924036,0.0,0.0,-0.12302434,0.0,0.0,-0.0932944,0,0,0,0,0
25274717,0.0,0.0,-0.23458497,0.23967548,0.99312913,0.0,0.0,-0.11702373,0.0,0.0,-0.0846028,0,0,0,0,0
25329509,0.0,0.0,-0.22082627,0.25811207,0.9939107,0.0,0.0,-0.11018893,0.0,0.0,-0.08242991,0,0,0,0,0
25379468,0.0,0.0,-0.20728616,0.27654865,0.99463385,0.0,0.0,-0.10345763,0.0,0.0,-0.08098131,0,0,0,0,0
25424341,0.0,0.0,-0.19472392,0.28269416,0.99526405,0.0,0.0,-0.09720821,0.0,0.0,-0.08098131,0,0,0,0,0
25479353,0.0,0.0,-0.17917235,0.28269416,0.99598986,0.0,0.0,-0.08946639,0.0,0.0,-0.08242991,0,0,0,0,0
25529229,0.0,0.0,-0.16507241,0.28269416,0.9965958,0.0,0.0,-0.08244253,0.0,0.0,-0.08315421,0,0,0,0,0
25579186,0.0,0.0,-0.15052035,0.30113074,0.9971693,0.0,0.0,-0.07518915,0.0,0.0,-0.08315421,0,0,0,0,0
25624009,0.0,0.0,-0.13677754,0.31342182,0.9976624,0.0,0.0,-0.06833547,0.0,0.0,-0.08315421,0,0,0,0,0
25678999,0.0,-0.0033086813,-0.11914407,0.32571286,0.99822474,-9.8494114e-05,-0.0016514054,-0.05953672,0.0,0.0,-0.0838785,0,0,0,0,0
25728905,0.0,-0.0057901917,-0.10270442,0.33185837,0.9986776,-0.00014860403,-0.0028912756,-0.05132943,0.0,0.0,-0.0846028,0,0,0,0,0
25778848,0.0,-0.0049630213,-0.08613075,0.33185837,0.99906975,-0.00010683405,-0.0024792072,-0.043051932,0.0,0.0,-0.086051404,0,0,0,0,0
25823752,0.0,-0.0016543404,-0.07122932,0.33185837,0.9993655,-2.9453153e-05,-0.0008266456,-0.03560712,0.0,0.0,-0.0896729,0,0,0,0,0
25878667,0.0049512894,-0.0008271669,-0.05302761,0.33185837,0.9996454,0.0024638074,-0.00047906782,-0.026509592,0.0,0.0,-0.091121495,0,0,0,0,0
25928566,0.008252155,-0.0016543216,-0.036452748,0.33185837,0.99982506,0.0041103037,-0.00090221525,-0.01822179,0.0,0.0,-0.091121495,0,0,0,0,0
25973524,0.009077394,-0.0033086357,-0.02126456,0.3441494,0.9999319,0.0045208307,-0.0017024621,-0.010624448,0.0,0.0,-0.091121495,0,0,0,0,0
26028370,0.002475672,-0.005790185,-0.0017078383,0.362586,0.9999947,0.0012353578,-0.0028961422,-0.00085033115,0.0,0.0,-0.091121495,0,0,0,0,0
26078285,0.0,-0.015716232,0.01707201,0.38716808,0.9999327,6.7075416e-05,-0.007857749,0.008535638,0.0,0.0,-0.091121495,0,0,0,0,0
26128238,0.0,-0.028950956,0.0365974,0.39331365,0.9997278,0.0002648584,-0.014472549,0.018295763,0.0,0.0,-0.091121495,0,0,0,0,0
26178108,0.0,-0.034741152,0.05593663,0.38716808,0.99945813,0.000485738,-0.01736291,0.027960451,0.0,0.0,-0.091121495,0,0,0,0,0
26228027,0.0,-0.038877003,0.07486488,0.36873153,0.99911064,0.00072741485,-0.019423662,0.03741663,0.0,0.0,-0.096191585,0,0,0,0,0
26277948,0.0,-0.04218568,0.0932116,0.362586,0.9986919,0.0009826198,-0.021068372,0.046578564,0.0,0.0,-0.09691589,0,0,0,0,0
26327922,0.0,-0.045494363,0.11142356,0.36873153,0.9981902,0.0012665213,-0.02270993,0.05566856,0.0,0.0,-0.09691589,0,0,0,0,0
26377885,0.0,-0.045494363,0.12969287,0.362586,0.9976401,0.0014739129,-0.022697415,0.06478423,0.0,0.0,-0.09691589,0,0,0,0,0
26427744,0.0,-0.03970417,0.14752525,0.35029495,0.99708426,0.0014629184,-0.019796802,0.073681235,0.0,0.0,-0.09691589,0,0,0,0,0
26477664,0.0,-0.038877003,0.16479525,0.3441494,0.99641895,0.0015997739,-0.019371333,0.08228887,0.0,0.0,-0.09691589,0,0,0,0,0
26527608,0.0,-0.038877003,0.18149431,0.33185837,0.99569714,0.0017614578,-0.0193573,0.090605535,0.0,0.0,-0.09691589,0,0,0,0,0
26577499,0.0,-0.028123787,0.1980504,0.33185837,0.9950026,0.0013901612,-0.013992543,0.09885366,0.0,0.0,-0.10053739,0,0,0,0,0
26627369,0.0,-0.017370576,0.2144475,0.33185837,0.99421954,0.0009294741,-0.0086353,0.10701437,0.0,0.0,-0.10198598,0,0,0,0,0
26677292,0.0,-0.014061895,0.23101516,0.33185837,0.9933119,0.0008103164,-0.006984039,0.11524805,0.0,0.0,-0.10198598,0,0,0,0,0
26727224,0.0,-0.0049630213,0.24755396,0.32571286,0.9923463,0.00030636988,-0.002462523,0.123460785,0.0,0.0,-0.10198598,0,0,0,0,0
26777163,0.0,0.0,0.26376,0.31956732,0.99131644,0.0,0.0,0.13149805,0.0,0.0,-0.095467284,0,0,0,0,0
26827035,0.009902577,-0.0,0.2794508,0.31342182,0.9902421,0.0049030147,0.0006895691,0.13926949,0.0,0.0,-0.0875,0,0,0,0,0
26876964,0.003300862,-0.0016543374,0.29509655,0.31342182,0.9891326,0.0017541017,-0.0005755445,0.14701459,0.0,0.0,-0.08894859,0,0,0,0,0
26926888,0.0,-0.0074445326,0.3107453,0.31342182,0.9879471,0.00057601294,-0.0036774192,0.1547472,0.0,0.0,-0.09257009,0,0,0,0,0
26976853,0.0,-0.012407555,0.32628423,0.30727625,0.9867028,0.0010076073,-0.0061213635,0.16241626,0.0,0.0,-0.09257009,0,0,0,0,0
27026815,0.0,-0.019852085,0.34092912,0.2888397,0.98545754,0.0016838282,-0.009782014,0.16963185,0.0,0.0,-0.0903972,0,0,0,0,0
27076684,0.0,-0.026469449,0.3550265,0.28269416,0.98419964,0.002336952,-0.013026372,0.17656699,0.0,0.0,-0.0903972,0,0,0,0,0
27126596,0.0,-0.028950956,0.3691363,0.28269416,0.9829126,0.0026564763,-0.0142291235,0.1835028,0.0,0.0,-0.0903972,0,0,0,0,0
27176570,0.0,-0.02977813,0.38326365,0.28269416,0.9815859,0.0028356828,-0.014615977,0.19043998,0.0,0.0,-0.0903972,0,0,0,0,0
27231370,0.0,-0.03143247,0.39875525,0.28269416,0.980069,0.0031126186,-0.015404263,0.19803485,0.0,0.0,-0.0903972,0,0,0,0,0
27276349,0.0,-0.032259643,0.41147053,0.28269416,0.9787837,0.00329497,-0.015788976,0.20426041,0.0,0.0,-0.0903972,0,0,0,0,0
27326277,0.0,-0.030605301,0.42543152,0.27654865,0.9773467,0.0032304965,-0.0149571635,0.2110905,0.0,0.0,-0.0903972,0,0,0,0,0
27376140,0.0,-0.032259643,0.4390369,0.27040312,0.9758755,0.0035122721,-0.015742064,0.21773133,0.0,0.0,-0.0903972,0,0,0,0,0
27426102,0.0,-0.03308681,0.4526087,0.27654865,0.97436893,0.003711801,-0.016120851,0.22434694,0.0,0.0,-0.0903972,0,0,0,0,0
27476020,0.0,-0.034741152,0.46665686,0.28269416,0.97275543,0.004016171,-0.016899021,0.23118216,0.0,0.0,-0.09257009,0,0,0,0,0
27525946,0.0,-0.034741152,0.4807619,0.28269416,0.97110087,0.0041352506,-0.016870277,0.23803672,0.0,0.0,-0.0932944,0,0,0,0,0
27580886,0.0,-0.032259643,0.49630356,0.28269416,0.969242,0.0039615184,-0.015635056,0.24558082,0.0,0.0,-0.0932944,0,0,0,0,0
27625796,0.0,-0.03143247,0.5089995,0.28269416,0.96766984,0.0039565773,-0.015209379,0.25173023,0.0,0.0,-0.0932944,0,0,0,0,0
27675700,0.00082548667,-0.03143246,0.52309406,0.28269416,0.9658701,0.0044623185,-0.015074401,0.2585496,0.0,0.0,-0.0932944,0,0,0,0,0
27725596,0.00742951,-0.032259345,0.5370917,0.28269416,0.9640098,0.007860602,-0.014565264,0.26535112,0.0,0.0,-0.0932944,0,0,0,0,0
27780545,0.00742951,-0.032259345,0.55262655,0.28269416,0.9619196,0.007973498,-0.014503768,0.2728309,0.0,0.0,-0.0932944,0,0,0,0,0
27825467,0.009906376,-0.033913426,0.5652689,0.28269416,0.9601508,0.009484677,-0.014901786,0.27892366,0.0,0.0,-0.0932944,0,0,0,0,0
27875408,0.0132087525,-0.034740146,0.5793332,0.28269416,0.9581409,0.011289335,-0.014759094,0.28569335,0.0,0.0,-0.09401869,0,0,0,0,0
27925324,0.014035134,-0.037221443,0.5934124,0.28269416,0.95607734,0.012150519,-0.015744686,0.29243898,0.0,0.0,-0.09474299,0,0,0,0,0
27980191,0.01321097,-0.041357312,0.60890317,0.28269416,0.9537458,0.01249858,-0.017746152,0.2998297,0.0,0.0,-0.09474299,0,0,0,0,0
28025118,0.014037308,-0.043011438,0.6211846,0.27040312,0.951863,0.013253196,-0.0183301,0.30568814,0.0,0.0,-0.09474299,0,0,0,0,0
28075113,0.015689906,-0.0454925,0.6340334,0.25811207,0.94983906,0.014541966,-0.019165393,0.3118126,0.0,0.0,-0.0875,0,0,0,0,0
28129904,0.015690304,-0.046319637,0.6479551,0.25196654,0.94763553,0.014806756,-0.019455602,0.31841677,0.0,0.0,-0.086775705,0,0,0,0,0
28179883,0.015690709,-0.047146767,0.6607871,0.25811207,0.9455629,0.015065523,-0.019751241,0.32449013,0.0,0.0,-0.086775705,0,0,0,0,0
28224741,0.014039423,-0.047974296,0.6723984,0.25811207,0.94366497,0.014537196,-0.020326378,0.32995737,0.0,0.0,-0.086775705,0,0,0,0,0
28279684,0.014040963,-0.05128287,0.6865565,0.25811207,0.941263,0.015237785,-0.021780053,0.33662647,0.0,0.0,-0.0875,0,0,0,0,0
28329691,0.010738788,-0.055419344,0.69952667,0.25811207,0.9390286,0.01453641,-0.024189005,0.34267873,0.0,0.0,-0.0896729,0,0,0,0,0
28374498,0.006609535,-0.059555832,0.7111924,0.25811207,0.93698406,0.013462211,-0.026760662,0.3480853,0.0,0.0,-0.09257009,0,0,0,0,0
28424412,0.00082613825,-0.0579019,0.72443235,0.27040312,0.93471766,0.010643368,-0.026922341,0.35421014,0.0,0.0,-0.095467284,0,0,0,0,0
28479453,0.0,-0.051284555,0.73932946,0.27040312,0.9321421,0.009263611,-0.023907484,0.36118406,0.0,0.0,-0.09836449,0,0,0,0,0
28529285,0.0,-0.048803046,0.75281495,0.27040312,0.9297143,0.008968667,-0.02269095,0.3674724,0.0,0.0,-0.09981308,0,0,0,0,0
28574155,0.0,-0.04797587,0.7649476,0.27040312,0.9274773,0.008951839,-0.022252534,0.37310928,0.0,0.0,-0.09981308,0,0,0,0,0
28624080,0.0,-0.04963022,0.7784477,0.27040312,0.924919,0.009415635,-0.02295668,0.3793536,0.0,0.0,-0.09981308,0,0,0,0,0
28679091,0.0,-0.04963022,0.7933225,0.27040312,0.92207205,0.009586111,-0.022886017,0.38622203,0.0,0.0,-0.10633177,0,0,0,0,0
28728962,0.0,-0.04797587,0.80680805,0.27040312,0.9194654,0.009415595,-0.02206031,0.39243844,0.0,0.0,-0.107780375,0,0,0,0,0
28773924,0.0,-0.045494363,0.8189656,0.27040312,0.9170896,0.009055667,-0.020864801,0.39803195,0.0,0.0,-0.107780375,0,0,0,0,0
28828762,0.0,-0.037222657,0.8337934,0.27040312,0.91419154,0.007535755,-0.017016284,0.40485477,0.0,0.0,-0.107780375,0,0,0,0,0
28878724,0.011557657,-0.03474038,0.84710306,0.27040312,0.91144097,0.012406041,-0.01345948,0.41102338,0.0,0.0,-0.107780375,0,0,0,0,0
28928640,0.017336823,-0.03556654,0.86049265,0.27040312,0.9086209,0.015293691,-0.012546167,0.41715315,0.0,0.0,-0.107780375,0,0,0,0,0
28978517,0.014860728,-0.03722129,0.8740107,0.27040312,0.90578276,0.01460673,-0.01371607,0.42326847,0.0,0.0,-0.10271028,0,0,0,0,0
29028425,0.017335525,-0.03225803,0.88781,0.27654865,0.9028701,0.014752937,-0.010842632,0.42952353,0.0,0.0,-0.10271028,0,0,0,0,0
29078396,0.019810688,-0.028949065,0.90160775,0.27654865,0.8998963,0.015220561,-0.008712263,0.4357513,0.0,0.0,-0.10271028,0,0,0,0,0
29128315,0.021463417,-0.03308427,0.9153593,0.27654865,0.8968274,0.016934384,-0.010096834,0.4419411,0.0,0.0,-0.10271028,0,0,0,0,0
29178177,0.017336486,-0.034739416,0.9292329,0.28269416,0.8937576,0.0155304205,-0.011643611,0.44813013,0.0,0.0,-0.10271028,0,0,0,0,0
29228146,0.021460596,-0.026467418,0.94328415,0.27654865,0.8906296,0.0155699905,-0.006913088,0.45441025,0.0,0.0,-0.10271028,0,0,0,0,0
29278053,0.023110759,-0.024812901,0.9573284,0.28269416,0.8874174,0.015969472,-0.005689275,0.46065497,0.0,0.0,-0.10271028,0,0,0,0,0
29328018,0.01733331,-0.025640994,0.9715174,0.28269416,0.8841632,0.013648617,-0.0072907982,0.46692178,0.0,0.0,-0.10271028,0,0,0,0,0
29377893,0.010730145,-0.025641788,0.98570174,0.28269416,0.88087,0.010791968,-0.00875637,0.47315428,0.0,0.0,-0.0932944,0,0,0,0,0
