timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
22224578,3932170,3932170,4259850,0,0,0.09490695,0.094906814,0.0,0.0,3932170,3932170,4325386,0,0,0.004324426,0.0043244255,0.0,0.0,1,0,0,0,1,0,0,0
22229571,3932170,3932170,4259850,0,0,0.09497781,0.09497769,0.0,0.0,3932170,3932170,4325386,0,0,0.004710838,0.004710838,0.0,0.0,1,0,0,0,1,0,0,0
22429218,3932170,3932170,4259850,0,0,0.09980481,0.099804774,0.0,0.0,3932170,3932170,4325386,0,0,0.0047175996,0.0047175996,0.0,0.0,1,0,0,0,1,0,0,0
22623885,3932170,3932170,4259850,0,0,0.09275021,0.09275013,0.0,0.0,3932170,3932170,4325386,0,0,0.003500638,0.003500638,0.0,0.0,1,0,0,0,1,0,0,0
22823556,3932170,3932170,4259850,0,0,0.11493576,0.11493585,0.0,0.0,3932170,3932170,4325386,0,0,0.0021269633,0.002126963,0.0,0.0,1,0,0,0,1,0,0,0
23028205,3932170,3932170,4259850,0,0,0.13105671,0.13105682,0.0,0.0,3932170,3932170,4325386,0,0,0.004127088,0.0041270885,0.0,0.0,1,0,0,0,1,0,0,0
23227923,3932170,3932170,4259850,0,0,0.13244958,0.13244972,0.0,0.0,3932170,3932170,4325386,0,0,0.0036323802,0.00363238,0.0,0.0,1,0,0,0,1,0,0,0
23427552,3932170,3932170,4259850,0,0,0.1019962,0.10199633,0.0,0.0,3932170,3932170,4325386,0,0,0.0055366177,0.005536618,0.0,0.0,1,0,0,0,1,0,0,0
23627218,3932170,3932170,4259850,0,0,0.09928075,0.09928074,0.0,0.0,3932170,3932170,4325386,0,0,0.0018480375,0.0018480388,0.0,0.0,1,0,0,0,1,0,0,0
23826931,3932170,3932170,4259850,0,0,0.073938146,0.07393825,0.0,0.0,3932170,3932170,4325386,0,0,0.008761722,0.0087617235,0.0,0.0,1,0,0,0,1,0,0,0
24026600,3932170,3932170,4259850,0,0,0.08313806,0.08313804,0.0,0.0,3932170,3932170,4325386,0,0,0.0037007853,0.0037007837,0.0,0.0,1,0,0,0,1,0,0,0
24226314,3932170,3932170,4259850,0,0,0.08765445,0.08765434,0.0,0.0,3932170,3932170,4325386,0,0,0.0038728102,0.0038728102,0.0,0.0,1,0,0,0,1,0,0,0
24430939,3932170,3932170,4259850,0,0,0.081185125,0.08118522,0.0,0.0,3932170,3932170,4325386,0,0,0.0041567846,0.004156784,0.0,0.0,1,0,0,0,1,0,0,0
24630658,3932170,3932170,4259850,0,0,0.105338305,0.10533838,0.0,0.0,3932170,3932170,4325386,0,0,0.0033793,0.0033793,0.0,0.0,1,0,0,0,1,0,0,0
24830279,3932170,3932170,4259850,0,0,0.094526134,0.094526194,0.0,0.0,3932170,3932170,4325386,0,0,0.0043765754,0.0043765744,0.0,0.0,1,0,0,0,1,0,0,0
25024953,3932170,3932170,4259850,0,0,0.08082794,0.080828175,0.0,0.0,3932170,3932170,4325386,0,0,0.003707693,0.003707693,0.0,0.0,1,0,0,0,1,0,0,0
25224636,3932170,3932170,4259850,0,0,0.12890223,0.1289023,0.0,0.0,3932170,3932170,4325386,0,0,0.003913682,0.003913682,0.0,0.0,1,0,0,0,1,0,0,0
25424250,3932170,3932170,4259850,0,0,0.10134829,0.101348355,0.0,0.0,3932170,3932170,4325386,0,0,0.004437985,0.0044379854,0.0,0.0,1,0,0,0,1,0,0,0
25623917,3932170,3932170,4259850,0,0,0.15570982,0.15570977,0.0,0.0,3932170,3932170,4325386,0,0,0.0041832994,0.0041833003,0.0,0.0,1,0,0,0,1,0,0,0
25823656,3932170,3932170,4259850,0,0,0.101376295,0.101376384,0.0,0.0,3932170,3932170,4325386,0,0,0.004762868,0.004762868,0.0,0.0,1,0,0,0,1,0,0,0
26028268,3932170,3932170,4259850,0,0,0.08376891,0.08376899,0.0,0.0,3932170,3932170,4325386,0,0,0.00446465,0.0044646496,0.0,0.0,1,0,0,0,1,0,0,0
26227926,3932170,3932170,4259850,0,0,0.10172856,0.10172844,0.0,0.0,3932170,3932170,4325386,0,0,0.004972003,0.0049720034,0.0,0.0,1,0,0,0,1,0,0,0
26427638,3932170,3932170,4259850,0,0,0.07339294,0.0733929,0.0,0.0,3932170,3932170,4325386,0,0,0.0047211223,0.0047211223,0.0,0.0,1,0,0,0,1,0,0,0
26627268,3932170,3932170,4259850,0,0,0.07123171,0.07123178,0.0,0.0,3932170,3932170,4325386,0,0,0.0050078034,0.005007804,0.0,0.0,1,0,0,0,1,0,0,0
26826936,3932170,3932170,4259850,0,0,0.09588095,0.09588092,0.0,0.0,3932170,3932170,4325386,0,0,0.0056384425,0.0056384406,0.0,0.0,1,0,0,0,1,0,0,0
27026715,3932170,3932170,4259850,0,0,0.09886573,0.09886567,0.0,0.0,3932170,3932170,4325386,0,0,0.0052028005,0.005202802,0.0,0.0,1,0,0,0,1,0,0,0
27231277,3932170,3932170,4259850,0,0,0.103839405,0.103839405,0.0,0.0,3932170,3932170,4325386,0,0,0.0046841535,0.0046841544,0.0,0.0,1,0,0,0,1,0,0,0
27426001,3932170,3932170,4259850,0,0,0.1305529,0.13055287,0.0,0.0,3932170,3932170,4325386,0,0,0.004130295,0.004130295,0.0,0.0,1,0,0,0,1,0,0,0
27625668,3932170,3932170,4259850,0,0,0.10661659,0.106616706,0.0,0.0,3932170,3932170,4325386,0,0,0.004292613,0.004292613,0.0,0.0,1,0,0,0,1,0,0,0
27825340,3932170,3932170,4259850,0,0,0.09852433,0.09852444,0.0,0.0,3932170,3932170,4325386,0,0,0.0038157208,0.0038157213,0.0,0.0,1,0,0,0,1,0,0,0
