timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
22478733,0.0012631096,-0.0017914221,0.0053717997,4991,0,-0.39830977,0.88098884,-10.287361,4991,0
22483728,-0.0059171147,0.011604259,-0.0016670581,4995,0,0.16056383,-1.0297781,-9.606792,4995,0
22488718,0.0064883986,-0.005414647,0.0033978135,4990,0,0.41206947,0.35459685,-10.180113,4990,0
22493709,-0.020192599,-0.0029505063,-0.0045056227,4991,0,-0.43630323,-0.056136247,-9.703877,4991,0
22498699,-0.008041445,0.012042334,0.00097311375,4990,0,0.45153233,-0.53592825,-9.741616,4990,0
22503691,-0.008078354,-0.0040072706,0.0030229362,4992,0,-0.4909552,1.0242388,-10.173675,4992,0
22508684,-0.012573778,0.011473242,0.002012543,4993,0,0.5585015,-1.015061,-9.878283,4993,0
22513683,0.009800529,-0.001560882,0.0033246884,4999,0,-0.2587733,1.0178193,-10.449985,4999,0
22518667,-0.01131929,0.005942766,0.0018161173,4984,0,-0.0529455,-0.711677,-9.284691,4984,0
22523659,-0.009042978,0.009625572,0.00022630699,4992,0,0.5395371,-0.059326567,-9.913102,4992,0
22528720,-0.012510111,-0.005489865,0.0038641011,5061,0,-0.52573997,0.38094348,-10.026486,5061,0
22533643,-0.012560387,0.0065952386,-0.0010528144,4923,0,0.6816077,-0.70285356,-9.803806,4923,0
22538633,-0.0043793237,0.0001892224,0.0030688492,4990,0,-0.5372426,0.8626053,-10.50281,4990,0
22543625,-0.010446789,0.0016458308,-0.0016579577,4992,0,0.17309682,-0.46587485,-9.363681,4992,0
22548616,0.005312242,0.008670527,0.004713559,4991,0,0.23922366,0.068235986,-10.262474,4991,0
22553608,-0.002652147,0.0083593875,0.0012474667,4992,0,-0.5687692,0.12921475,-9.58843,4992,0
22558603,-0.013234295,0.004631943,0.0030268505,4995,0,0.88774914,-0.61522305,-9.892259,4995,0
22563592,-0.008927955,0.00044340084,0.0007255714,4989,0,-0.31974313,0.75084835,-10.21888,4989,0
22568584,-0.018939465,-0.0010676828,-0.0032645718,4992,0,0.051194407,-0.56641746,-9.602814,4992,0
22573575,-0.0054045375,-0.0027093717,0.0033831343,4991,0,0.16636558,0.20267981,-10.419195,4991,0
22578567,-0.0011308382,0.0131931435,0.0013527535,4992,0,-0.4697161,0.17832796,-9.320442,4992,0
22583561,-0.0025910782,0.009410295,0.009061939,4994,0,0.48819435,-0.56423384,-10.407582,4994,0
22588551,0.00031488863,-0.001438601,0.000488302,4990,0,-0.038114116,0.8603405,-10.217234,4990,0
22593545,-0.005036366,0.0027110209,-0.00023886899,4994,0,-0.14996453,-0.5452933,-9.418249,4994,0
22598535,-0.018735878,-0.0011921923,0.003443843,4990,0,0.71404415,-0.2050156,-10.210154,4990,0
22603526,-0.0031080598,0.00833383,0.0060694814,4991,0,-0.763251,0.25858712,-9.298924,4991,0
22608518,-0.009298876,0.0072762882,0.005923708,4992,0,0.31888774,-0.40057585,-10.328763,4992,0
22613510,-0.006119667,0.0021931946,-0.0047825663,4992,0,0.19319397,0.7734548,-10.279095,4992,0
22618501,-0.0004395674,-0.0058682906,-0.0007152797,4991,0,-0.59540766,-0.52056104,-9.3675995,4991,0
22623494,-0.014151872,0.010398203,0.0009566707,4993,0,0.9484259,-0.39604676,-10.270077,4993,0
22628487,-0.009918176,-0.0012876269,0.00065051066,4993,0,-0.63255984,0.607819,-9.545697,4993,0
22633478,-0.010876683,0.009919466,0.0044495054,4991,0,-0.12923814,-0.6342946,-9.819168,4991,0
22638471,-0.0026112807,0.010191319,0.0036673665,4993,0,0.7334683,0.6173826,-10.62996,4993,0
22643460,0.001542162,-0.00049221894,0.0005695297,4989,0,-0.81738114,-0.12803566,-9.292527,4989,0
22648452,-0.010349316,-0.0025332328,0.0013996244,4992,0,0.9581009,-0.58617896,-10.33452,4992,0
22653443,-0.006974604,-0.0031430589,-0.0015167941,4991,0,-0.11999153,0.70495886,-9.876764,4991,0
22658436,-0.014663104,0.009338208,0.00016132001,4993,0,-0.7696989,-0.6199107,-9.501882,4993,0
22663427,-0.0070491107,0.011304216,0.004759429,4991,0,1.1742293,0.18779625,-10.519771,4991,0
22668431,-0.0015842988,0.0007947903,0.0021004719,5004,0,-0.7580892,0.30976695,-9.571475,5004,0
22673411,-0.016888529,-0.0036956402,-0.00053858594,4980,0,0.099999435,-0.58519495,-9.781141,4980,0
22678405,0.0011735468,0.0026752981,0.003020806,4994,0,0.7314509,0.6411869,-10.490573,4994,0
22683397,-0.0072793784,0.0078518335,0.0016087553,4992,0,-1.2327341,-0.21398771,-9.239867,4992,0
22688386,-0.005158237,0.012574306,0.005026408,4989,0,1.0286254,-0.54797155,-10.198899,4989,0
22693378,0.007993157,0.0058268737,0.0053024604,4992,0,-0.27750146,0.7123445,-10.194025,4992,0
22698424,-0.015413395,-0.0010670767,-0.0054472703,5046,0,-0.42673922,-0.2745065,-9.634918,5046,0
22703361,-0.0031833332,0.00046253778,-0.0002482002,4937,0,1.368628,-0.16242965,-10.32946,4937,0
22708370,-0.010036798,0.0008886369,0.0017433591,5009,0,-1.1750056,0.4567531,-9.464627,5009,0
22713344,-0.021233734,0.013282543,0.00012482978,4974,0,0.20584632,-0.66351336,-9.497635,4974,0
22718363,-0.00096944947,0.008445818,0.010861792,5019,0,0.4908229,0.39615974,-10.596484,5019,0
22723328,-0.0052481736,-0.0076588457,-0.0015537399,4965,0,-0.75568795,0.20950866,-9.925476,4965,0
22728370,-0.008605382,0.00021076378,0.0002875266,5042,0,0.8806502,-0.5496024,-9.873101,5042,0
22733311,0.0020225265,0.008324719,0.007060989,4941,0,-0.14114694,0.5460733,-10.012594,4941,0
22738365,-0.018093733,0.00721814,-0.0015829672,5054,0,-0.71983564,-0.51322204,-9.429661,5054,0
22743295,-0.0072883293,0.0039861323,0.0071935393,4930,0,1.3788642,-0.02364542,-10.491615,4930,0
22748287,0.0027717615,0.0014030793,0.0023729166,4992,0,-1.3344699,0.6629132,-10.086752,4992,0
22753280,-0.009768574,0.008084807,-0.0013200988,4993,0,0.45172372,-0.72428536,-9.328041,4993,0
22758270,0.0018630602,0.008926247,0.00929842,4990,0,0.82120675,0.06510032,-10.228393,4990,0
22763265,-0.011240208,0.0056496724,-0.0057017286,4995,0,-1.0305413,0.11504103,-9.711376,4995,0
22768260,-0.01828616,-0.010225689,0.002302789,4995,0,0.87290716,-0.50427884,-10.157085,4995,0
22773247,-0.0016271428,0.013885778,0.0075899553,4987,0,-0.35449645,0.59351635,-9.600895,4987,0
22778237,-0.015082976,0.0056117666,0.002857836,4990,0,-0.39382994,0.25091845,-10.146262,4990,0
22783231,-0.010769706,-0.00085066067,0.0041256924,4994,0,1.1458474,-0.464037,-10.347654,4994,0
22788221,0.011062569,-8.6561384e-05,0.008094637,4990,0,-0.78027827,0.4755774,-9.624847,4990,0
22793214,-0.010416548,-0.0015231972,0.0001391466,4993,0,0.17002928,-0.38735798,-9.909906,4993,0
22798204,-0.013416628,0.011496158,0.010786942,4990,0,0.5721527,-0.18795437,-9.887873,4990,0
22803196,-0.0025085001,0.01211152,0.005838348,4992,0,-1.0064477,0.32572734,-9.99315,4992,0
22808193,-0.011136164,0.00071237923,0.007209855,4997,0,0.62428755,-0.2524918,-9.83714,4997,0
22813180,-0.0049274964,0.0011807441,0.009447064,4987,0,0.375806,0.046670564,-9.974869,4987,0
22818172,-0.008870179,0.0029853994,-0.000884811,4992,0,-0.7916189,0.26545358,-9.777444,4992,0
22823163,-0.00913799,-0.00049334916,0.002245016,4991,0,0.7807411,-0.3762087,-10.156988,4991,0
22828158,-0.0029067881,0.00038883864,0.011171137,4995,0,-0.40661827,0.18501869,-9.708752,4995,0
22833147,-0.008936627,0.013826224,0.004006108,4989,0,-0.3886361,0.082827926,-9.997551,4989,0
22838139,-0.012092213,0.006078533,0.013176851,4992,0,0.97308993,-0.2347822,-9.793499,4992,0
22843130,-0.0040794425,-0.006769616,0.0023168752,4991,0,-0.45533553,0.10607038,-10.253964,4991,0
22848122,-0.01355612,0.00078135834,-0.0014081233,4992,0,0.028804779,0.08119374,-9.957289,4992,0
22853138,-0.011259707,-0.003780814,0.008964787,5016,0,0.53707737,-0.19083062,-9.898107,5016,0
22858106,0.0034834382,0.014551905,0.0061308634,4968,0,-0.9667908,0.40591678,-10.02544,4968,0
22863100,-0.0128418,0.012209725,0.008824777,4994,0,0.5667873,-0.2460626,-9.757421,4994,0
22868089,-0.0020523833,0.008084124,0.0120721655,4989,0,0.2594217,-0.115506686,-9.8876915,4989,0
22873080,-0.002959798,-0.0010457176,0.003118045,4991,0,-0.49049076,0.16165563,-9.982151,4991,0
22878073,-0.010905075,-0.010048406,0.0005620262,4993,0,0.58758026,-0.5957025,-10.115903,4993,0
22883064,0.0026759524,0.0050646616,0.00621768,4991,0,-0.005848312,0.1437714,-9.571481,4991,0
22888056,-0.016093986,0.015137617,0.0014561794,4992,0,-0.56978136,0.24305446,-9.949784,4992,0
22893048,-0.011884396,-5.689737e-05,0.010243289,4992,0,1.0162612,-0.32211313,-10.119122,4992,0
22898041,-0.0065154745,-0.0017962805,0.0065358845,4993,0,-0.38496163,0.32555076,-9.94535,4993,0
22903032,-0.008581471,0.003361369,-0.0047755875,4991,0,-0.054448966,0.17225449,-9.891953,4991,0
22908023,-0.0012895626,-0.00015588496,0.007385705,4991,0,0.17475928,-0.32349983,-10.121794,4991,0
22913015,0.0010738586,0.009117827,0.0013303458,4992,0,-0.26688042,0.27743575,-9.450861,4992,0
22918006,-0.025051331,0.0069961147,8.9697925e-05,4991,0,0.1784952,-0.7254061,-10.185972,4991,0
