timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
27648852,27648169,4325386,0.0010986623,0.0015104528,-0.00836953,0.34906584,2.4163306e-08,2.4165507e-08,5.0985932e-08,4259850,-0.039908115,-0.014732438,0.051758744,0.4,0.00034112477,0.00034111014,5.0114822e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
27851622,27850970,4325386,0.0010790402,0.001547832,-0.0086669605,0.34906584,2.3587411e-08,2.3589081e-08,4.953902e-08,4259850,-0.04499347,-0.016386118,0.0512292,0.4,0.00033180913,0.0003317913,4.9997166e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
28054388,28053771,4325386,0.001069083,0.0015998718,-0.00902619,0.34906584,2.3241752e-08,2.3242768e-08,4.8450552e-08,4259850,-0.05053752,-0.018087983,0.051252548,0.4,0.00032541165,0.00032539034,5.035274e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
28257213,28256570,4325386,0.0010476607,0.0016343216,-0.009281464,0.34906584,2.2667033e-08,2.2667368e-08,4.7030433e-08,4259850,-0.055462226,-0.019412477,0.050657533,0.4,0.00031558803,0.00031556436,5.0178423e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
28464927,28464130,4325386,0.0010241615,0.0016617498,-0.009445887,0.34906584,2.2051289e-08,2.2050944e-08,4.5387463e-08,4259850,-0.0600743,-0.020455867,0.05000881,0.4,0.00030500692,0.0003049822,4.9855344e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
28672131,28671286,4325386,0.001010097,0.0016998778,-0.009729341,0.34906584,2.1640622e-08,2.16396e-08,4.4158554e-08,4259850,-0.06492852,-0.02139712,0.049559645,0.4,0.00029717697,0.00029715255,4.993136e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
28884130,28883045,4325386,0.0009956838,0.0017308404,-0.009966436,0.34906584,2.1199117e-08,2.1197396e-08,4.29797e-08,4259850,-0.06938617,-0.02207357,0.04929511,0.4,0.00028884044,0.00028881824,4.9872447e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
29086468,29085844,4325386,0.0009826011,0.0017578234,-0.010263864,0.34906584,2.0779153e-08,2.0776698e-08,4.1701124e-08,4259850,-0.073581986,-0.022428721,0.048557445,0.4,0.0002808002,0.0002807824,4.9795476e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
29289389,29288644,4325386,0.0009784152,0.0017968914,-0.010541441,0.34906584,2.055437e-08,2.0551342e-08,4.091054e-08,4259850,-0.07803299,-0.022629468,0.04826004,0.4,0.00027546898,0.00027545675,5.011993e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
29496727,29495906,4325386,0.0009652801,0.0018124866,-0.010714757,0.34906584,2.0090816e-08,2.0086869e-08,3.939277e-08,4259850,-0.08103843,-0.022429803,0.047522232,0.4,0.00026701955,0.00026701667,4.979297e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
