timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
22227445,22226924,0,nan,nan,-0.03197993,0.013828404,0.37524983,0.0,0.0,-0.00012689829,-0.058549862,0.019780617,0.013495932,-0.025851745,-0.0063445233,0.013964439,-0.020002015,0.11008448,0.10026185,0.26106527,-0.3007994,0.005229924,nan,0.10143408,0.39541677,0.6974556,0.3353214,0.26893526,inf,inf,inf,inf,0,1,0,1,1,3,1,3,2,0,0,1,0
22727594,22726938,0,nan,nan,-0.05779345,0.015914973,0.3792061,0.0,0.0,-0.00012689829,-0.1151695,0.023866544,0.017067945,-0.008861966,-0.0063445233,0.013964439,-0.020002015,0.3194398,-0.013723727,-0.17105319,-0.2986751,0.005229924,nan,0.10812816,0.35917446,0.6768163,0.300474,0.25270507,inf,inf,inf,inf,0,1,0,1,1,3,1,3,2,0,0,1,0
23223367,23222777,0,nan,nan,-0.10079118,0.022086006,0.36868215,0.0,0.0,-0.00012689829,-0.1814305,0.048546486,-0.016361337,-0.0460583,-0.0063445233,0.013964439,-0.020002015,-0.6598505,0.8942676,-0.0193996,-0.29601648,0.005229924,nan,0.10977751,0.4368595,0.66949666,0.34089965,0.2412099,inf,inf,inf,inf,0,1,0,1,1,3,1,3,2,0,0,1,0
23728352,23727374,0,nan,nan,-0.22322568,0.041890334,0.2966528,0.0,0.0,-0.00012689829,-0.2995678,0.0024768515,-0.2317389,-0.25348863,-0.0063445233,0.013964439,-0.020002015,-0.07929941,-0.23694967,0.077151075,-0.2804524,0.005229924,nan,0.18180686,0.6080095,0.6622366,0.4595703,0.23066242,inf,inf,inf,inf,0,1,0,1,1,3,1,3,2,0,0,1,0
24227950,24227610,0,nan,nan,-0.3839988,0.028134083,0.21417531,0.0,0.0,-0.00012689829,-0.40085244,-0.04384612,-0.0527363,-0.047695614,-0.0063445233,0.013964439,-0.020002015,-0.51486075,-0.44516203,1.1775943,-0.25160906,0.005229924,nan,0.26428434,0.8374566,0.64410007,0.5965169,0.21825212,inf,inf,inf,inf,0,1,0,1,1,3,1,3,2,0,0,1,0
24723854,24723359,0,nan,nan,-0.6128941,-0.0014962852,0.23225702,0.0,0.0,-0.00012689829,-0.53899485,-0.06718834,-0.1286657,-0.11442317,-0.0063445233,0.013964439,-0.020002015,-0.46390668,-0.83263236,-0.45285925,-0.2729789,0.005229924,nan,0.24620263,1.1354231,0.6377979,0.74527085,0.20963007,inf,inf,inf,inf,0,1,0,1,1,3,1,3,2,0,0,1,0
25729970,25728641,0,nan,nan,-1.2203542,-0.097948775,-0.14591318,0.0,0.0,-0.00012689829,-0.7412562,-0.09945117,-0.25047556,-0.23848449,-0.0063445233,0.013964439,-0.020002015,-0.19975956,-0.12057592,-0.012934739,-0.14686641,0.005229924,nan,0.62437284,1.9366835,0.61600715,1.0478266,0.19226705,inf,inf,inf,inf,0,1,0,1,1,3,1,3,2,0,0,1,0
26724830,26724495,0,nan,nan,-1.8169012,-0.19162925,-0.34309244,0.0,0.0,-0.00012689829,-0.75120395,-0.086734675,-0.30190253,-0.29927766,-0.0063445233,0.013964439,-0.020002015,0.17883968,-0.14140007,-0.7661207,0.30323306,0.005229924,nan,0.8215521,2.8900821,0.60544884,1.2873487,0.1796689,inf,inf,inf,inf,0,1,0,1,1,3,1,3,2,0,0,1,0
27721189,27720361,0,nan,nan,-2.0456321,-0.24264547,-0.62927485,0.0,0.0,-0.00012689829,-0.6713755,-0.06681248,-0.24572112,-0.23759714,-0.0063445233,0.013964439,-0.020002015,-0.09010274,0.16105443,0.36129403,0.57132614,0.005229924,nan,1.1077344,3.7190862,0.58605796,1.3874367,0.16736525,inf,inf,inf,inf,0,1,0,1,1,3,1,3,2,0,0,1,0
28721513,28720758,0,nan,nan,-1.8414223,-0.11957864,-0.81667775,0.0,0.0,-0.00012689829,-0.4497052,0.1836071,-0.1952799,-0.17624582,-0.0063445233,0.013964439,-0.020002015,0.109268874,0.1201126,0.055166867,0.81741095,0.005229924,nan,1.2951374,4.232221,0.5700422,1.3583649,0.15797755,inf,inf,inf,inf,0,1,0,1,1,3,1,3,2,0,0,0,0
29216979,29216635,0,nan,nan,-1.6173241,0.032248702,-0.97896457,0.0,0.0,-0.00012689829,-0.3577133,0.30059344,-0.50197864,-0.47732985,-0.0063445233,0.013964439,-0.020002015,-0.15400511,0.17590575,0.1778405,0.948632,0.005229924,nan,1.4574242,4.468605,0.56656915,1.3454511,0.15510973,inf,inf,inf,inf,0,1,0,1,1,3,1,3,2,0,0,0,0
29728541,29725816,0,nan,nan,-1.4080343,0.20721322,-1.2307034,0.0,0.0,-0.00012689829,-0.36703974,0.37466896,-0.5192401,-0.47855088,-0.0063445233,0.013964439,-0.020002015,0.11614922,0.029615378,0.70866674,1.0867501,-0.009342181,nan,1.709163,4.432719,0.5646165,1.2565747,0.15291254,inf,inf,inf,inf,0,1,0,1,1,3,1,3,3,0,0,0,0
30230881,30226235,0,nan,nan,-1.2333729,0.34246823,-1.4383796,0.0,0.0,-0.00012689829,-0.3543911,0.342156,-0.49031833,-0.43692648,-0.0063445233,0.013964439,-0.020002015,-0.35830185,-0.009607374,-0.5840778,1.2365522,-0.009342181,nan,1.9168394,4.547772,0.5546819,1.2011609,0.14932269,inf,inf,inf,inf,0,1,0,1,1,3,1,3,3,0,0,0,0
30728164,30726232,0,nan,nan,-1.1059526,0.44921455,-1.6401925,0.0,0.0,-0.00012689829,-0.3459761,0.37676942,-0.4134342,-0.35591263,-0.0063445233,0.013964439,-0.020002015,-0.33415344,-0.027842266,0.53841555,1.3657821,-0.009342181,nan,2.118652,4.6204433,0.55243284,1.1666441,0.14788616,inf,inf,inf,inf,0,1,0,1,1,3,1,3,3,0,0,0,0
31222458,31222097,0,nan,nan,-1.0094113,0.5288654,-1.7517743,0.0,0.0,-0.00012689829,-0.36698928,0.3719688,-0.15742885,-0.09837516,-0.0063445233,0.013964439,-0.020002015,-0.27160516,-0.051717695,0.41122952,1.4593021,-0.009342181,nan,2.230234,4.4356313,0.5504863,1.1073452,0.14702143,inf,inf,inf,inf,0,1,0,1,1,3,1,3,3,0,0,0,0
31722838,31722253,0,nan,nan,-0.962743,0.60374546,-1.7382816,0.0,0.0,-0.00012689829,-0.37102744,0.37610805,0.018314188,0.085518286,-0.0063445233,0.013964439,-0.020002015,-0.16195843,0.250929,0.5432707,1.5349963,-0.009342181,nan,2.2167413,4.4562006,0.54109854,1.1130792,0.14540082,inf,inf,inf,inf,0,1,0,1,1,3,1,3,3,0,0,0,0
