timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],temperature_accel,temperature_gyro
61156291,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0018303392,4.4996246e-05,2.574229e-08,-0.25008887,0.039396822,-9.883918,0.08613642,0.029095955,-0.06814548,35.086273,35.086273
63148202,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0015948705,5.0779978e-05,7.0644745e-08,-0.2616314,-0.04030441,-9.636314,0.01518152,0.018417828,0.22944137,35.216846,35.216846
64196513,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0009915391,4.097118e-05,4.875629e-08,-0.35335216,-0.018310739,-9.260861,0.005338803,0.016320262,0.26435193,35.232582,35.232582
65139977,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0010203318,4.2015563e-05,5.8095605e-08,-0.24589598,0.08967214,-10.436488,0.102016,0.0232109,0.28862417,35.271587,35.271587
66188258,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0010188045,4.107083e-05,8.4516465e-08,-0.26990637,0.08696412,-9.971699,-0.02733086,-0.030658163,0.59753084,35.52635,35.52635
67131767,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0008510148,3.410846e-05,8.847842e-08,-0.3269865,0.011869535,-9.728438,0.0066184336,-0.007151702,0.7024776,35.491886,35.491886
68180109,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0008459705,3.6939018e-05,1.1453344e-07,-0.33629474,0.08848896,-10.287389,0.032820553,0.042488493,0.7574987,35.428402,35.428402
70171940,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0015508467,5.0281076e-05,1.09897364e-07,-0.14001185,0.14966634,-10.045856,0.09476562,0.01469474,0.35226747,35.477314,35.477314
71220290,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0009728043,4.3945856e-05,6.589668e-08,-0.1580301,0.112771355,-10.565237,0.08199701,0.014859352,0.31049475,35.134605,35.134605
73212186,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0015356862,5.7647732e-05,3.3176775e-08,-0.15986837,0.10030336,-9.309078,-0.062286228,0.016527668,-0.09323107,35.52635,35.52635
75203988,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0012458882,4.990713e-05,3.2187774e-08,-0.32745722,0.039228275,-9.889372,0.17744371,-0.119558536,-0.07683049,35.673176,35.673176
76147509,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0008976597,4.0215087e-05,2.0664736e-08,-0.42611712,-0.14594294,-9.480134,-0.107062794,0.20190835,-0.010602629,35.750095,35.750095
78139410,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0009438153,4.028115e-05,1.1952677e-08,-0.24657424,0.013832797,-9.3684,0.07445279,-0.05166671,-0.02052588,35.83403,35.83403
82227941,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0010984301,4.6934816e-05,8.906729e-09,-0.28754413,0.12536813,-9.337786,0.021370409,0.0058516334,-0.03706736,36.01589,36.01589
83171468,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0018028433,5.256857e-05,3.001716e-08,-0.3368743,0.16260158,-10.936923,-0.051800936,-0.054248698,-0.10832996,36.01589,36.01589
85163349,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.00084206794,3.4982873e-05,1.4707631e-08,-0.37695456,0.122334346,-10.053599,0.02745987,0.04058251,-0.027214456,36.023468,36.023468
86211714,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0008015931,3.3752865e-05,1.12345715e-08,-0.37147668,0.03671401,-9.992324,-0.009303811,0.0015212434,-0.0053523877,36.162823,36.162823
88203583,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0009816712,3.997588e-05,2.352488e-08,-0.35979012,0.048691794,-9.828474,0.06411609,-0.038159695,-0.1131251,35.966972,35.966972
92187442,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0012367187,3.8589984e-05,4.1569933e-08,-0.24298622,0.11381825,-10.201591,-0.078469746,-0.020187082,-0.24541454,36.40755,36.40755
93130907,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0014968143,3.5584282e-05,4.6307342e-08,-0.15122971,0.06767251,-9.836337,-0.0022602947,0.022176234,-0.31661358,36.384865,36.384865
94179437,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0013412638,3.7770493e-05,5.976001e-08,-0.18069121,0.1619418,-9.937001,-0.09787456,0.035682343,-0.34637246,36.538128,36.538128
96171228,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0023238577,5.6534216e-05,5.787941e-08,-0.27361423,0.15608625,-10.010594,0.15069497,0.059089795,0.043729424,36.49325,36.49325
98163096,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.001461046,6.361616e-05,7.870631e-08,-0.13430808,0.19226204,-10.965023,-0.0793682,-0.16123243,-0.20646921,36.59467,36.59467
99211459,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.001053288,4.285179e-05,2.7083999e-08,-0.12492502,0.010935706,-10.024621,-0.034015674,-0.056799665,0.046470944,36.60345,36.60345
101203386,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0011479151,5.1167386e-05,3.073499e-08,-0.17751768,0.0028082705,-9.205336,-0.16252226,-0.06425837,0.0037395784,36.55445,36.55445
102146917,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0011563392,3.961007e-05,1.4497139e-08,-0.14805672,0.10499836,-10.255974,0.079643734,0.046718117,0.001446991,36.634907,36.634907
104138872,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0009993081,3.7143127e-05,6.2206675e-09,-0.1708067,-0.012425904,-10.12744,-0.020400312,0.015869271,-0.0058112377,36.80391,36.80391
105187267,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0013135377,4.045917e-05,1.4873241e-08,-0.15157741,-0.0107315155,-9.93045,-0.05916869,0.10447314,-0.0012459166,36.706017,36.706017
107179140,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0012817748,3.791202e-05,1.0700172e-08,-0.0892198,0.0037080597,-9.751176,0.020848079,0.016736176,0.00545067,36.857536,36.857536
108222533,3932170,3932170,0,0,0,0,0,801.35834,801.35834,4006.7917,8013.5835,0.0014771676,5.2127292e-05,9.17468e-09,-0.18919596,0.07254486,-9.678529,0.042197213,0.02608783,-0.0028712316,37.09302,37.09302
