timestamp,main_state
21981492,8
22484613,8
22991617,8
23499527,8
24007990,8
24514519,8
25021528,8
25529727,8
26037658,8
26546489,8
27054492,8
27562506,8
28070675,8
28577520,8
29088912,8
29594494,8
30105518,8
30612492,8
31112713,8
31617515,8
32119058,8
32629107,8
33139427,8
33647016,8
34154486,8
34658492,8
35165939,8
35676491,8
36184663,8
36693808,8
37203657,8
37711890,8
38219611,8
38720236,8
39222493,8
39725538,8
40744908,8
41253883,8
41754485,8
42266264,8
42773831,8
43279525,8
43785677,8
44294752,8
44802949,8
45303484,8
45812490,8
46320872,8
46829861,8
47337491,8
47844088,8
48348061,8
49365684,8
49876188,8
50384114,8
50887225,8
51390278,8
51893732,8
52394490,8
52895125,8
53401503,8
53909617,8
54419334,8
54927737,8
55434538,8
55941797,8
56451488,8
56960916,8
57468390,8
57975514,8
58486396,8
58993732,8
59497926,8
60006554,8
60508717,8
61009712,8
61519584,8
62029503,8
62533542,8
63039022,8
63540992,8
64044522,8
64553524,8
65062783,8
65565671,8
66074492,8
66574700,8
67081588,8
67589908,8
68091227,8
68595202,8
69096495,8
69596705,8
70104968,8
70612043,8
71114539,8
71625547,8
72134666,8
72641558,8
73143622,8
73644654,8
74154530,8
74663702,8
75171671,8
75679529,8
76188332,8
76694489,8
77203505,8
77705761,8
78212487,8
78719944,8
79735678,8
80748522,8
81255495,8
81762499,8
82269491,8
82776486,8
83285492,8
83793489,8
84300672,8
84808491,8
85315695,8
85822812,8
86330640,8
86838487,8
87346524,8
88364011,8
88874026,8
89381517,8
89891813,8
90402764,8
90912660,8
91421493,8
91929492,8
92432387,8
92939033,8
93451473,8
93952655,8
94455723,8
94958754,8
95466525,8
95974171,8
96475523,8
96978495,8
97494928,8
98003710,8
98512900,8
99019487,8
99528637,8
100038576,8
100547541,8
101054491,8
101562521,8
102070167,8
102577031,8
103083582,8
103592490,8
104100657,8
104609537,8
105116635,8
105623485,8
106133488,8
106640621,8
107150651,8
107659477,8
108166491,8
108675604,8
109184555,8
109692529,8
110201493,8
110701523,8
111209894,8
111716521,8
112224533,8
112733522,8
112802459,8
113306488,8
