timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
47730390,47730241,4259850,4325386,0.000115760915,4.2326945e-05,-0.001652219,-0.0012150585,-0.0014992947,-0.052571133,4659,5727,0,2
48225946,48225836,4259850,4325386,1.970728e-05,2.5914534e-05,-0.001540675,-0.0011211722,-0.00034555784,-0.05635008,4512,5707,0,2
48726530,48726142,4259850,4325386,-0.00014709863,0.00014879332,-0.0016249302,-0.0006023736,-0.0010925839,-0.023924535,4565,2674,0,2
49726732,49726628,4259850,4325386,-5.7576526e-05,8.387923e-05,-0.0014661836,-0.0018030916,0.0020705296,-0.04353494,4554,4510,0,2
50226937,50226837,4259850,4325386,0.0003754476,-0.00039217327,-0.0012733331,-0.0020819486,-0.0002450889,-0.04208155,4363,4244,0,2
50727187,50727083,4259850,4325386,-7.691597e-05,0.00015309562,-0.0010608038,-0.00220843,0.00083452713,-0.044970874,4507,4280,0,2
51227870,51227353,4259850,4325386,-0.00021699275,0.0001821664,-0.000604719,-0.0011307943,-0.0009525694,-0.059983574,4525,5710,0,2
52228103,52227990,4259850,4325386,-6.3049505e-05,7.136226e-05,-5.7174093e-05,-0.0012233733,0.00074172893,-0.03669286,4659,4174,0,2
52728224,52728094,4259850,4325386,7.7920995e-05,-0.00026544966,-6.752624e-05,-0.00075245515,-0.0008589748,-0.044894412,4465,4535,0,2
53729122,53728596,4259850,4325386,3.3143584e-05,7.735736e-05,-0.00010974663,-0.0025783423,-0.0003187198,-0.0453706,4246,4404,0,2
54228953,54228846,4259850,4325386,-0.00078819355,0.00027233787,-6.675742e-07,-0.002805008,-0.0008322014,-0.040804073,4459,4280,0,2
55229531,55229428,4259850,4325386,-5.204256e-05,4.779924e-05,-2.1265836e-05,-0.0007604428,0.000111806956,-0.04061504,4538,4278,0,2
55725582,55725099,4259850,4325386,-8.6872955e-05,-1.6737411e-05,-4.984335e-05,-0.0011332446,0.0010843122,-0.042820882,4461,4278,0,2
56725936,56725787,4259850,4325386,-8.688431e-05,0.00023671881,-5.2234973e-05,-0.0022279792,-0.00011756035,-0.055329114,4689,5844,0,2
57225989,57225859,4259850,4325386,0.00017799666,-0.0003374673,-6.790297e-05,-0.0017476459,-0.00020764317,-0.042225152,4507,4244,0,2
57726310,57726206,4259850,4325386,0.0009610983,0.0010759771,-8.254273e-05,-0.0024873866,-0.00054585346,-0.041235346,4506,4278,0,2
58226814,58226371,4259850,4325386,-0.00089626067,1.5395475e-05,0.00084205065,0.00025314707,-0.00074555405,-0.051627014,4236,4353,0,2
58726733,58726623,4259850,4325386,1.0905044e-05,0.00012159464,0.0022122886,-0.0056686485,-0.00040606165,-0.03767457,4459,4278,0,2
59727325,59727223,4259850,4325386,7.808765e-05,-0.00010774261,0.0020443718,-0.0006588437,-0.0012544215,-0.038734537,4598,4215,0,2
60228421,60227689,4259850,4325386,0.000102756094,6.176455e-05,0.0011278362,-0.0014407465,-0.00015260429,-0.054122347,4809,6012,0,2
60727748,60727642,4259850,4325386,6.96531e-05,0.000105886065,2.3138087e-05,-0.0021375075,0.0025079306,-0.035499476,4462,2851,0,2
