timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
22224692,-0.013664808,-0.012515647,-1.5738695e-05,0.0,0.0,-0.0
22229754,-0.013429643,-0.012517805,2.0791274e-05,0.0,0.0,-0.0
22249688,-0.013453856,-0.012569209,-6.606451e-06,0.0,0.0,-0.0
22264705,-0.01354081,-0.012440829,-3.0635376e-05,0.0,0.0,-0.0
22284619,-0.013510825,-0.012742616,1.9083373e-05,0.0,0.0,-0.0
22309583,-0.013592344,-0.012496007,2.3433095e-05,0.0,0.0,-0.0
22329489,-0.013456315,-0.012177919,-8.191335e-05,0.0,0.0,-0.0
22344512,-0.0137350615,-0.012612648,-6.4623615e-05,0.0,0.0,-0.0
22369494,-0.013804613,-0.012267134,5.4835622e-05,0.0,0.0,-0.0
22389443,-0.0138110295,-0.012117994,-3.1848464e-05,0.0,0.0,-0.0
22404535,-0.013549674,-0.012316557,1.4905732e-05,0.0,0.0,-0.0
22429341,-0.0135043,-0.0120938225,-6.3109415e-05,0.0,0.0,-0.0
22449336,-0.0135874,-0.012194985,-3.549608e-05,0.0,0.0,-0.0
22469270,-0.013470899,-0.012072549,-4.422655e-05,0.0,0.0,-0.0
22484305,-0.013538718,-0.012294433,-1.1186484e-05,0.0,0.0,-0.0
22509257,-0.0133589525,-0.012126034,-5.0555136e-05,0.0,0.0,-0.0
22529258,-0.013459322,-0.011977879,-7.098136e-05,0.0,0.0,-0.0
22544231,-0.013314885,-0.011911849,-1.4481362e-05,0.0,0.0,-0.0
22569096,-0.013232798,-0.011959836,1.7312823e-06,0.0,0.0,-0.0
22589107,-0.0136658745,-0.012030985,-3.5512316e-05,0.0,0.0,-0.0
22609026,-0.013488825,-0.012069336,-8.764143e-05,0.0,0.0,-0.0
22623997,-0.013502158,-0.011959722,-3.9134968e-05,0.0,0.0,-0.0
22649026,-0.013581832,-0.011876049,-4.3079566e-05,0.0,0.0,-0.0
22668956,-0.013510665,-0.0119569395,-5.092191e-05,0.0,0.0,-0.0
22683907,-0.013454198,-0.011861448,-4.8364564e-05,0.0,0.0,-0.0
22708886,-0.013640166,-0.011862971,-4.9019603e-05,0.0,0.0,-0.0
22728925,-0.013449287,-0.011848192,-3.5908004e-05,0.0,0.0,-0.0
22748849,-0.013604347,-0.0119793555,-5.050958e-05,0.0,0.0,-0.0
22768832,-0.0133852875,-0.011920009,-5.0503913e-05,0.0,0.0,-0.0
22788840,-0.013644028,-0.011994251,-0.00010934133,0.0,0.0,-0.0
22808765,-0.013434465,-0.012160782,-0.00010069412,0.0,0.0,-0.0
22823671,-0.013396359,-0.011982772,-5.0531507e-05,0.0,0.0,-0.0
22848754,-0.013263158,-0.011866089,-1.4443784e-05,0.0,0.0,-0.0
22868704,-0.013378801,-0.012219749,-0.00014990322,0.0,0.0,-0.0
22888620,-0.013376193,-0.012092516,-4.1595355e-05,0.0,0.0,-0.0
22908590,-0.013355124,-0.011788708,-9.9434124e-05,0.0,0.0,-0.0
22928594,-0.0132271275,-0.011838983,-1.5825768e-05,0.0,0.0,-0.0
22948547,-0.01342845,-0.012060286,-6.4121945e-05,0.0,0.0,-0.019439252
22963441,-0.013128452,-0.011792565,-3.291182e-05,0.0,0.0,-0.03140187
22993415,-0.0133921,-0.011758522,-0.00024836537,0.0,0.0,-0.04838785
23008410,-0.013191801,-0.011726789,-0.00027879135,0.0,0.0,-0.05852804
23028364,-0.013476552,-0.011481607,-0.00030111248,0.0,0.0,-0.062149536
23048336,-0.013575914,-0.0113189025,-0.0003794585,0.0,0.0,-0.062149536
23068342,-0.012473783,-0.011481523,-0.0006829485,0.0,0.0,-0.070841126
23088284,-0.0141044855,-0.0127808945,-0.00095378526,0.0,0.0,-0.070841126
23108190,-0.015772125,-0.018729834,-0.0008702747,0.0,0.0,-0.070841126
23128268,-0.018701285,-0.02854317,-0.0007613155,0.0,0.0,-0.070841126
23148180,-0.018564729,-0.040057354,-0.0007384236,0.0,0.0,-0.070841126
23168217,-0.019670986,-0.049878486,-0.0010192884,0.0,0.0,-0.070841126
23188206,-0.02258463,-0.056776363,-0.0015379755,0.0,0.0,-0.070841126
23208162,-0.024879688,-0.06267308,-0.0020010823,0.0,0.0,-0.070841126
23228031,-0.027281122,-0.06905479,-0.002663197,0.0,0.0,-0.070841126
23248001,-0.031096242,-0.07010369,-0.0033241557,0.0,0.0,-0.070841126
23268013,-0.031141426,-0.06997654,-0.0040327115,0.0,0.0,-0.07156542
23287935,-0.024990048,-0.072497174,-0.00484699,0.0,0.0,-0.079532705
23307907,-0.016063705,-0.07905527,-0.0060953805,0.0,0.0,-0.08098131
23327931,-0.0068040695,-0.08273708,-0.007720869,0.0,0.0,-0.08315421
23347893,0.00040160172,-0.081658654,-0.009223621,0.0,0.0,-0.08315421
23367816,0.006556662,-0.08158567,-0.010679072,0.0,0.0,-0.086775705
23387793,0.012033713,-0.07888544,-0.012098308,0.0,0.0,-0.086775705
23407788,0.01651911,-0.080154434,-0.013666246,0.0,0.0,-0.086775705
23427718,0.023054238,-0.08433798,-0.01525713,0.0,0.0,-0.086775705
23447693,0.032789096,-0.09050062,-0.016693661,0.0,0.0,-0.086051404
23467805,0.042279534,-0.08935138,-0.017932443,0.0,0.0,-0.086775705
23487572,0.05063706,-0.07601887,-0.018890323,0.0,0.0,-0.086051404
23507534,0.058195695,-0.05226227,-0.019812562,0.0,0.0,-0.086051404
23527500,0.06485363,-0.027856043,-0.020510979,0.0,0.0,-0.086051404
23547514,0.06965197,-0.008765955,-0.02100044,0.0,0.0,-0.086775705
23567427,0.07230068,0.0031340464,-0.021503994,0.0,0.0,-0.086775705
23587405,0.072965,0.007197016,-0.021992588,0.0,0.0,-0.086775705
23607417,0.06771468,0.012294248,-0.02272053,0.0,0.0,-0.086775705
23627325,0.05838766,0.028971542,-0.023898406,0.0,0.0,-0.086051404
23647315,0.045577362,0.055868812,-0.025462825,0.0,0.0,-0.086051404
23667263,0.031080168,0.08984978,-0.027155802,0.0,0.0,-0.086775705
23687272,0.01628117,0.12451591,-0.029261649,0.0,0.0,-0.086775705
23707201,0.0029587804,0.15516213,-0.031539172,0.0,0.0,-0.086775705
23727159,-0.0074244984,0.18183415,-0.033987477,0.0,0.0,-0.086775705
23747183,-0.014284148,0.19542418,-0.036856376,0.0,0.0,-0.086775705
23767098,-0.017198741,0.19535193,-0.039995246,0.0,0.0,-0.086775705
23787079,-0.018712804,0.18366958,-0.043598022,0.0,0.0,-0.086051404
23807080,-0.016813984,0.16428775,-0.04735755,0.0,0.0,-0.086051404
23827042,-0.010984927,0.1362882,-0.050971173,0.0,0.0,-0.086051404
23846966,-0.0021723376,0.10760828,-0.05431313,0.0,0.0,-0.08242991
23866938,0.006517484,0.07896841,-0.057447776,0.0,0.0,-0.08098131
23886951,0.013827079,0.04994178,-0.06061352,0.0,0.0,-0.08170561
23906871,0.018164357,0.027122706,-0.06368892,0.0,0.0,-0.08170561
23926845,0.018296447,0.014356622,-0.066697806,0.0,0.0,-0.08170561
23946857,0.015195635,0.0037189284,-0.06978643,0.0,0.0,-0.08170561
23966784,0.009240735,-0.009154943,-0.07266741,0.0,0.0,-0.08098131
23986750,0.0019032812,-0.02605671,-0.07526339,0.0,0.0,-0.07735981
24006707,-0.0060951803,-0.044554304,-0.07775062,0.0,0.0,-0.069392525
24026716,-0.013192783,-0.0660855,-0.08001716,0.0,0.0,-0.070116825
