timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],temperature_accel,temperature_gyro
22258366,4259850,4325386,0,0,0,0,0,698.9619,665.62976,2096.886,1996.8894,0.007928684,5.033777e-05,8.626207e-10,-0.02502656,0.029939797,-9.750241,0.00212264,0.0009689401,0.0007679175,28.5,nan
23191180,4259850,4325386,0,0,0,0,0,698.9619,665.62976,2096.886,1996.8894,0.010790968,8.822679e-05,9.508302e-09,-0.0069555347,0.06088313,-9.935991,0.019338747,0.09844226,-0.0024265628,28.5,nan
29203424,4259850,4325386,0,0,0,0,0,698.9619,665.62976,2096.886,1996.8894,0.0074036885,6.512999e-05,4.736084e-08,-0.2762284,0.067846216,-10.353589,0.0631494,0.029449167,0.23817936,28.5,nan
30135958,4259850,4325386,0,0,0,0,0,698.9619,665.62976,2096.886,1996.8894,0.008057015,6.523798e-05,4.8423043e-08,-0.22919595,-0.015148759,-9.831897,0.0061662407,-0.09541387,0.28801224,28.5,nan
32195611,4259850,4325386,0,0,0,0,0,698.9619,665.62976,2096.886,1996.8894,0.008017935,6.294178e-05,3.183735e-08,-0.36838531,0.047419515,-10.424014,-0.003877372,-0.03233616,0.15104796,28.5,nan
33128398,4259850,4325386,0,0,0,0,0,698.9619,665.62976,2096.886,1996.8894,0.0077586723,5.706162e-05,2.7809929e-08,-0.36718774,0.037331615,-9.3479805,0.00039163503,-0.0042732256,0.12190992,29.0,nan
35188923,4259850,4325386,0,0,0,0,0,698.9619,665.62976,2096.886,1996.8894,0.008447356,5.2968622e-05,1.517456e-08,-0.3410667,0.089317575,-9.135964,-0.06121653,0.014828186,0.069718644,29.0,nan
36224507,4259850,4325386,0,0,0,0,0,698.9619,665.62976,2096.886,1996.8894,0.0074546835,5.7892477e-05,2.3267644e-08,-0.38155362,0.09776634,-9.924274,0.049075227,0.026797516,0.027988125,29.0,nan
38193940,4259850,4325386,0,0,0,0,0,698.9619,665.62976,2096.886,1996.8894,0.0069488045,5.41243e-05,2.4710571e-08,-0.3402087,0.09386108,-9.596999,-0.14837018,0.0058828397,-0.10031107,29.0,nan
39129238,4259850,4325386,0,0,0,0,0,698.9619,665.62976,2096.886,1996.8894,0.008190941,7.636762e-05,6.815834e-08,-0.37782678,0.121236846,-10.070046,-0.009420315,-0.01517228,-0.34186962,29.0,nan
41195418,4259850,4325386,0,0,0,0,0,698.9619,665.62976,2096.886,1996.8894,0.007657371,8.4044455e-05,8.226366e-08,-0.2893657,0.16742928,-9.687875,-0.030991875,-0.011294082,-0.4090769,29.0,nan
43157341,4259850,4325386,0,0,0,0,0,698.9619,665.62976,2096.886,1996.8894,0.007808748,9.278631e-05,9.3124044e-08,-0.26649427,0.12483397,-9.408406,0.07279762,-0.080588214,-0.49102694,29.0,nan
45224440,4259850,4325386,0,0,0,0,0,698.9619,665.62976,2096.886,1996.8894,0.0076146824,8.502068e-05,8.4510916e-08,-0.37198427,0.027098114,-10.083663,-0.014482927,-0.017160779,-0.4327637,29.5,nan
46157334,4259850,4325386,0,0,0,0,0,698.9619,665.62976,2096.886,1996.8894,0.0070766076,8.68908e-05,9.216252e-08,-0.34987152,0.012745601,-9.203309,-0.02565617,0.07746117,-0.44099885,29.5,nan
48225943,4259850,4325386,0,0,0,0,0,698.9619,665.62976,2096.886,1996.8894,0.008227556,7.437142e-05,6.6855705e-08,-0.3529937,-0.0052995007,-9.830564,0.00044415292,0.007854144,-0.3435904,29.5,nan
51204903,4259850,4325386,0,0,0,0,0,698.9619,665.62976,2096.886,1996.8894,0.007656758,6.571991e-05,4.8243262e-08,-0.2643867,-0.015848665,-10.096545,-0.07974241,0.05310712,-0.14872462,29.5,nan
52133312,4259850,4325386,0,0,0,0,0,698.9619,665.62976,2096.886,1996.8894,0.007189727,5.064196e-05,1.8877484e-08,-0.27152532,0.0060325083,-9.184587,-0.020860747,0.011492456,-0.02103108,29.5,nan
54201915,4259850,4325386,0,0,0,0,0,698.9619,665.62976,2096.886,1996.8894,0.006378748,5.126457e-05,1.2816114e-08,-0.36042213,-0.03286201,-9.690091,-0.18959385,0.037790146,-0.0049890336,29.5,nan
55134916,4259850,4325386,0,0,0,0,0,698.9619,665.62976,2096.886,1996.8894,0.008059689,5.5330605e-05,1.6472947e-08,-0.31298855,-0.008677899,-9.734724,0.028805817,-0.040876333,-0.0016685775,29.965754,nan
57208480,4259850,4325386,0,0,0,0,0,698.9619,665.62976,2096.886,1996.8894,0.00702599,5.4549626e-05,1.7340623e-08,-0.42037052,0.08861434,-10.215742,0.08134424,-0.11238441,-0.017954735,30.0,nan
58140860,4259850,4325386,0,0,0,0,0,698.9619,665.62976,2096.886,1996.8894,0.0072096325,5.922059e-05,2.7769163e-08,-0.41145402,-0.040497206,-9.41812,-0.13610305,-0.018947683,0.11907783,30.0,nan
60205018,4259850,4325386,0,0,0,0,0,698.9619,665.62976,2096.886,1996.8894,0.007602322,8.234826e-05,7.872608e-08,-0.27546614,0.072345436,-9.160486,0.007644007,0.03267178,0.27341166,30.0,nan
61137869,4259850,4325386,0,0,0,0,0,698.9619,665.62976,2096.886,1996.8894,0.008487023,5.935039e-05,2.4814064e-08,-0.31487247,0.11691461,-9.50848,0.09735303,0.023968166,-0.06779241,30.0,nan
63210998,4259850,4325386,0,0,0,0,0,698.9619,665.62976,2096.886,1996.8894,0.0065945364,7.529723e-05,6.19112e-08,-0.33378235,0.017229354,-9.703033,0.024231236,0.055186983,0.21955977,30.5,nan
