timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
23220586,23220534,4259850,-1.008757,2.9241185,-9.576807,28.5,0,0,0,0,3
28217722,28217673,4259850,0.051076304,-1.9792068,-1.8515161,28.5,0,0,0,0,3
29219199,29219145,4259850,-0.7150683,-0.7789136,-3.4221125,28.5,0,0,0,0,3
30221810,30221758,4259850,-1.0853715,-0.15322891,-3.8434918,28.5,0,0,0,0,3
31217580,31217530,4259850,0.7916827,-2.7581203,-9.002198,28.5,0,0,0,0,3
32218781,32218727,4259850,-2.3622792,1.1109096,-8.223285,28.5,0,0,0,0,3
33219533,33219477,4259850,-4.4308696,1.1364478,-15.105817,29.0,0,0,0,0,3
35219375,35219321,4259850,-3.715801,1.4045984,-9.908804,29.0,0,0,0,0,3
36219115,36219063,4259850,1.7621324,-1.3790601,-6.2696166,29.0,0,0,0,0,3
38218997,38218942,4259850,0.35753414,-1.8259779,-6.4994597,29.0,0,0,0,0,3
39218750,39218698,4259850,0.75337553,-0.45968673,-7.980673,29.0,0,0,0,0,3
41220840,41220787,4259850,1.5833654,-0.5363012,-10.879252,29.0,0,0,0,0,3
42217096,42217042,4259850,3.511496,-2.7453516,-2.170743,29.0,0,0,0,0,3
43219673,43219620,4259850,0.8682972,-1.0981406,-9.295887,29.0,0,0,0,0,3
45221015,45220952,4259850,-0.051076304,-0.9066044,-15.118587,29.5,0,0,0,0,3
46219066,46219011,4259850,-2.3112028,-0.17876707,-14.709975,29.5,0,0,0,0,3
47221185,47221135,4259850,1.6216727,-1.2002932,-9.410809,29.5,0,0,0,0,3
48218711,48218657,4259850,0.12769076,-0.10215261,-8.248823,29.5,0,0,0,0,3
50219708,50219645,4259850,-3.2050383,0.40861043,-16.4338,29.5,0,0,0,0,3
51217361,51217302,4259850,-0.31922692,-0.4341486,-13.26707,29.5,0,0,0,0,3
52218678,52218623,4259850,-3.1794999,1.4556746,-19.281305,29.5,0,0,0,0,3
54220114,54220052,4259850,-1.5833654,-0.6512229,-13.2798395,29.5,0,0,0,0,3
55220463,55220411,4259850,-2.7836587,0.51076305,-18.451315,30.0,0,0,0,0,3
57218462,57218412,4259850,0.44691765,-1.3152149,-5.0182467,30.0,0,0,0,0,3
58220160,58220104,4259850,-5.145938,3.1411927,-5.171476,30.0,0,0,0,0,3
