timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
22218187,22217920,3932170,-0.44005427,-0.11252748,-10.571358,32.980415,0,0,0,0,5
23221514,23221260,3932170,-0.6449979,-3.31166,-11.744516,33.078335,0,0,0,0,5
26221563,26221308,3932170,-1.3254302,0.9830592,0.79726917,33.274174,0,0,0,0,5
28219525,28219266,3932170,2.1763294,-0.50469774,-17.042885,33.51897,0,0,0,0,5
29220373,29220122,3932170,-1.0673351,-0.5295974,-11.156022,33.71481,0,0,0,0,5
30222480,30222226,3932170,-0.109654434,-1.7899053,-1.2363658,33.61689,0,0,0,0,5
31219595,31219341,3932170,-0.9744401,1.6160861,-10.873028,33.81273,0,0,0,0,5
32220479,32220215,3932170,2.348233,-3.152206,-8.660786,33.71481,0,0,0,0,5
33221315,33221062,3932170,2.9645007,-1.4762648,-2.9223626,33.61689,0,0,0,0,5
34222186,34221931,3932170,2.183033,-1.9503168,-2.9472623,33.71481,0,0,0,0,5
35220552,35220294,3932170,-3.592739,-0.4012682,-3.371515,33.86169,0,0,0,0,5
36220214,36219955,3932170,2.765303,-1.4551958,-8.123048,33.86169,0,0,0,0,5
38220694,38220433,3932170,0.44580036,-2.087265,-13.228922,33.71481,0,0,0,0,5
39220282,39220023,3932170,0.33423057,2.1370645,-11.917858,33.86169,0,0,0,0,5
41222021,41221769,3932170,-1.0113108,1.1214441,-10.3783865,34.008568,0,0,0,0,5
42219156,42218902,3932170,-3.572628,3.212061,-21.347181,34.155445,0,0,0,0,5
43220034,43219777,3932170,1.502601,-0.12354081,-10.854353,34.400246,0,0,0,0,5
44222171,44221908,3932170,-0.26192567,2.5637114,-12.314816,34.351284,0,0,0,0,5
45223041,45222783,3932170,-1.1903971,2.273055,-3.5051112,34.253365,0,0,0,0,5
46220179,46219920,3932170,-1.7712303,-0.008140286,-6.5950685,34.547123,0,0,0,0,5
47222308,47222051,3932170,-0.9983821,3.1191661,-14.149732,34.449203,0,0,0,0,5
48220694,48220438,3932170,0.42664674,-0.6052542,-10.181103,34.449203,0,0,0,0,5
50219969,50219716,3932170,-3.0913935,0.21308395,-19.459114,34.400246,0,0,0,0,5
51219617,51219357,3932170,0.4390966,0.31986538,-6.2637105,34.596085,0,0,0,0,5
52219271,52219001,3932170,-2.871127,1.2038046,-14.46433,34.74296,0,0,0,0,5
54221036,54220784,3932170,-2.4938004,-0.62392896,-14.668796,34.9388,0,0,0,0,5
55221937,55221679,3932170,-1.4441825,1.6256629,-2.9539661,34.9388,0,0,0,0,5
57219985,57219726,3932170,-0.13599065,0.86957407,-14.619474,34.88984,0,0,0,0,5
58220883,58220625,3932170,-3.3169272,4.525041,0.008619127,35.08568,0,0,0,0,5
59219288,59219028,3932170,0.8470686,-2.0116084,-2.7035327,35.13464,0,0,0,0,5
60220238,60219987,3932170,0.14077906,0.062249243,-10.419087,35.13464,0,0,0,0,5
61221095,61220832,3932170,-3.2805355,2.8869286,-11.036792,35.08568,0,0,0,0,5
62222005,62221738,3932170,1.2181699,-1.8157626,-9.834423,35.08568,0,0,0,0,5
63219164,63218899,3932170,2.4602816,0.067995325,-0.71969706,35.23256,0,0,0,0,5
64220064,64219805,3932170,-3.2685642,1.9771317,-9.69125,35.23256,0,0,0,0,5
65218474,65218216,3932170,-0.5568913,3.2953792,-7.6389403,35.281517,0,0,0,0,5
66224373,66224118,3932170,-1.8282125,0.22601265,1.9062635,35.526318,0,0,0,0,5
