timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
22224619,22224183,0.9878938,0.0017156476,0.0011382743,-0.15511803,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,2
22229615,22229146,0.9878934,0.0016898713,0.0011425654,-0.15512109,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,2
22728855,22728370,0.9880712,0.0016792618,0.0010706483,-0.15398483,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,2
23227963,23227494,0.98828536,0.004167047,0.007120061,-0.15239416,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,2
23727092,23726669,0.9892801,-0.0021746329,-0.020103352,-0.14462385,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,2
24226356,24225845,0.99149984,0.0040684864,0.0077927536,-0.12981114,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,2
24725454,24725021,0.9900823,0.003358632,0.0022925064,-0.14042984,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,2
25224677,25224198,0.9899421,0.00044610517,-0.0043080207,-0.141407,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,2
25728847,25728370,0.9969692,0.0017988854,-0.002959779,-0.07771999,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,2
26227967,26227545,0.99948835,0.00046615425,-0.0069814534,0.03120948,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,2
26727162,26726727,0.98898065,0.0020928832,-0.020365026,0.14662269,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,2
27231313,27230892,0.97441655,0.0015312523,-0.01019899,0.22451285,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,2
27725533,27725109,0.960727,0.0050172117,-0.017423777,0.2769025,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,2
28224682,28224258,0.942345,0.013141605,-0.018763771,0.33385804,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,2
28728903,28728430,0.91932684,0.010295631,-0.024815962,0.3925766,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,2
29228083,29227656,0.8916097,0.015553189,-0.0115024205,0.45239127,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,2
29727222,29726791,0.8568821,0.0074784295,-0.009081201,0.5153781,0.99997747,7.037165e-11,3.6518152e-10,-0.006719465,2
30231396,30230965,0.81813276,0.008865655,-0.014464166,0.57477915,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
30725578,30725151,0.78028256,0.01424146,-0.007663177,0.6252181,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
31224810,31224333,0.75064224,0.011364649,-0.014343995,0.66045535,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
31724044,31723514,0.7257961,0.009313013,-0.0107554365,0.6877628,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
32228121,32227689,0.69852215,0.017060751,-0.0145283295,0.71523756,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
32727380,32726871,0.6701023,0.012863951,-0.012508615,0.74205196,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
33226485,33226053,0.64526016,0.013722438,-0.0056208996,0.7638191,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
33730679,33730228,0.62160003,0.011870852,-0.008556872,0.7831981,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
34229909,34229434,0.6012568,0.009701842,-0.0076966253,0.79896003,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
34724109,34723604,0.5850304,0.017099515,-0.01121252,0.8107537,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
35228267,35227836,0.5887997,0.012669728,-0.017556753,0.80798894,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
35727437,35726966,0.5585338,-0.00021619661,-0.01906058,0.8292627,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
36226616,36226151,0.5406004,0.0025591312,-0.03345719,0.84061,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
36725765,36725337,0.5470658,0.0034236808,-0.010726838,0.83701396,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
37229948,37229515,0.5714983,0.01278398,-0.020234857,0.82025415,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
37729126,37728701,0.5820585,0.018817106,-0.00907944,0.81287855,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
38228321,38227888,0.59380317,-0.012059194,-0.012925324,0.80441624,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
38727581,38727075,0.6421671,-0.012083878,-0.009275166,0.76641333,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
39226699,39226267,0.70311135,-0.007896383,-0.015530727,0.7108664,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
39725883,39725451,0.75898015,-0.006929872,-0.016256902,0.65087384,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
40230150,40229631,0.80921966,0.0020953163,-0.0137592405,0.58734137,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
40729243,40728819,0.86206067,-0.009532514,-0.0054878206,0.5066858,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
41228493,41228008,0.90989316,0.0014747144,-0.008122031,0.4147605,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
41727686,41727209,0.9462349,0.0016964994,-0.0045497473,0.32344398,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
42226868,42226388,0.9741236,0.0023416595,-0.010673983,0.22575179,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
42726203,42725579,0.9933453,-0.0008106174,-0.0068584816,0.11496719,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
43225235,43224770,0.99990624,0.009811669,-0.008208147,-0.004889822,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
43729382,43728952,0.9926087,-0.008302268,-0.009917849,-0.120667994,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
44228615,44228143,0.97420776,-0.004536757,-0.015738467,-0.22505766,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
44732764,44732328,0.944412,-0.0060325186,-0.015737388,-0.32833216,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
45226987,45226527,0.90397805,-0.0028040248,-0.019219523,-0.42713764,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
45726195,45725720,0.84882206,-0.0017544628,-0.00085666706,-0.52867514,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
46225347,46224912,0.78140473,-0.0015048926,-0.00049233664,-0.6240226,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
46729525,46729097,0.70457995,0.00300324,-0.0066871145,-0.7095868,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
47228761,47228291,0.62291014,-0.010901838,0.013691661,-0.7820977,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
47727918,47727490,0.54436505,-0.0005805923,-0.0005879612,-0.838848,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
48227108,48226679,0.46656695,-0.00083336426,0.00021161138,-0.88448554,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
48726338,48725874,0.38435215,-0.006469727,0.018792547,-0.92297256,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
49724689,49724264,0.2130149,-0.0032744536,0.017796317,-0.97688144,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
50228878,50228452,0.13677335,-0.0034937414,0.0018372491,-0.9905945,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
50728080,50727653,0.06987575,-0.017512057,-0.00062226015,-0.99740183,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
51227274,51226844,0.025657477,-0.0030951658,0.013930714,-0.999569,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
51726508,51726042,0.0019944983,-0.016255034,0.0035135243,-0.9998597,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
52225673,52225238,-0.0035849563,-0.022103485,0.0015386525,-0.99974805,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
52724868,52724437,-0.0040175286,-0.022383269,-0.0006510926,-0.9997412,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
53229064,53228626,-0.0063362014,-0.019308364,0.0009931918,-0.99979305,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
53728292,53727824,-0.009639209,-0.015566736,-0.0007697796,-0.9998321,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
54227534,54227023,-0.010070506,-0.007958263,0.019198643,-0.9997333,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
54726643,54726221,-0.007675005,-0.011006656,0.017551022,-0.999756,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
55230877,55230420,-0.006007984,-0.024144338,-0.0001939985,-0.9996905,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
55725047,55724621,-0.006570677,-0.018035946,0.016380044,-0.9996816,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
56224368,56223821,-0.0064971275,-0.024388094,-0.0008133159,-0.9996811,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
56728443,56728013,-0.006306382,-0.021392182,0.0028484499,-0.9997472,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
57227687,57227214,-0.007572547,-0.0368571,-0.016207471,-0.99916047,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
57726845,57726416,-0.009688767,-0.010928192,-0.022172479,-0.9996475,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
58226082,58225616,0.009237119,0.00043912293,-0.010334428,-0.99990386,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
58725326,58724818,0.098614536,-0.0022336787,-0.0039931643,-0.99511516,0.99998873,-7.2879014e-10,-1.3214303e-10,-0.0047607017,3
