timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
41049133,1931144,1,3932170,3997730,3932170,396825,0.030600676,0.011337569,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,2,1,1,0,0,0,0,0,0,0,0,0
42049235,1931144,1,3932170,3997730,3932170,396825,0.028957285,0.009185378,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,2,1,1,0,0,0,0,0,0,0,0,0
43052598,1931144,1,3932170,3997730,3932170,396825,0.023762893,0.010264411,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,2,1,1,0,0,0,0,0,0,0,0,0
44059326,1931144,1,3932170,3997730,3932170,396825,0.01578443,0.005796916,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,2,1,1,0,0,0,0,0,0,0,0,0
45067624,1931144,1,3932170,3997730,3932170,396825,0.007967976,0.0074416376,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,2,1,1,0,0,0,0,0,0,0,0,0
46077635,1931144,1,3932170,3997730,3932170,396825,0.0074025407,0.013384965,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,2,1,1,0,0,0,0,0,0,0,0,0
47084475,1931144,1,3932170,3997730,3932170,396825,0.010619683,0.023887243,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,2,1,1,0,0,0,0,0,0,0,0,0
48087802,1931144,1,3932170,3997730,3932170,396825,0.025663538,0.035282865,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,2,1,1,0,0,0,0,0,0,0,0,0
50091216,1931144,1,3932170,3997730,3932170,396825,0.04953215,0.04704848,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,2,1,1,0,0,0,0,0,0,0,0,0
51097842,1931144,1,3932170,3997730,3932170,396825,0.053615864,0.048299167,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,2,1,1,0,0,0,0,0,0,0,0,0
52106341,1931144,1,3932170,3997730,3932170,396825,0.05503648,0.04750153,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,2,1,1,0,0,0,0,0,0,0,0,0
53111435,1931144,1,3932170,3997730,3932170,396825,0.05387502,0.045583993,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,2,1,1,0,0,0,0,0,0,0,0,0
54118298,1931144,1,3932170,3997730,3932170,396825,0.051891945,0.043671396,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,2,1,1,0,0,0,0,0,0,0,0,0
55126528,1931144,1,3932170,3997730,3932170,396825,0.050512332,0.04288636,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,2,1,1,0,0,0,0,0,0,0,0,0
56134809,1931144,1,3932170,3997730,3932170,396825,0.049583912,0.043190733,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,2,1,1,0,0,0,0,0,0,0,0,0
57138119,1931144,1,3932170,3997730,3932170,396825,0.04761453,0.04304004,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,2,1,1,0,0,0,0,0,0,0,0,0
