timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
293533613,293533613,41,0,0,0,1495,1496,1065,1932,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
293555856,293555856,41,0,0,0,1495,1496,1065,1932,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
294032857,294032857,41,0,0,0,1495,1497,1065,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
294523479,294523479,41,0,0,0,1495,1496,1098,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
295036009,295036009,41,0,0,0,1495,1497,1124,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
295531661,295531661,41,0,0,0,1495,1496,1147,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
296031907,296031907,41,0,0,0,1495,1495,1168,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
296530517,296530517,41,0,0,0,1497,1480,1182,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
297029808,297029808,41,0,0,0,1496,1495,1188,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
297530382,297530382,41,0,0,0,1498,1488,1210,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
298035638,298035638,41,0,0,0,1520,1489,1203,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
298528501,298528501,41,0,0,0,1540,1465,1203,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
299027575,299027575,41,0,0,0,1503,1415,1177,1498,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
