timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
293533453,293532518,1.3581891e-10,1.7988677e-05,0.0007260008,0.0023162323,0.0036662666,0.020727327,67109395,0,0.3107901,0.503542,0.1789437,0.0,0.033101548,0.0064619966,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
293733071,293732236,6.9020845e-10,5.815921e-05,0.002876761,0.0018488746,0.0025421693,0.017377893,531,0,0.3093617,0.50209373,0.14126632,0.0,0.03317139,0.009141038,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
293932900,293931961,8.4814816e-10,6.219869e-05,0.0038118581,0.0016985859,0.0031715361,0.021776577,531,0,0.30793938,0.50066286,0.14046176,0.0,0.033272777,0.0059246244,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
294132602,294131685,8.589057e-10,6.1216924e-05,0.004556008,0.0019058605,0.005599173,0.033614542,531,0,0.30652362,0.5043997,0.14398375,0.0,0.033477727,0.0342637,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
294332202,294331428,1.0151765e-09,6.328423e-05,0.005499815,0.0018544602,0.0057838354,0.035196703,531,0,0.3051145,0.5029396,0.14776565,0.0,0.03363428,0.020800259,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
294532082,294531133,1.1161498e-09,6.4242864e-05,0.0052935337,0.001914466,0.0064771906,0.038099714,531,0,0.3037127,0.5014903,0.12607668,0.0,0.033772536,0.022988567,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
294731781,294730856,2.5747537e-09,6.821505e-05,0.0056891292,0.0016863937,0.004884012,0.028410288,659,0,0.33267027,0.5052287,0.12971294,0.0,0.001863324,0.021874312,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
294931291,294930580,7.555361e-09,9.011945e-05,0.006181371,0.0013667446,0.0042903326,0.018809574,659,0,0.36416435,0.50375766,0.098923765,0.0,0.0022349104,0.0039809817,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
295136200,295135298,3.4535336e-08,0.00013808817,0.007391555,0.0012642727,0.004699463,0.018518614,659,0,0.39818484,0.50227803,0.09757268,0.0,0.0026073996,0.010081624,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
295335733,295335022,5.090636e-08,0.00017560614,0.008486709,0.0012965457,0.0046820017,0.015905842,659,0,0.43474436,0.50084454,0.08943211,0.0,0.0030620522,0.013447195,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
295535748,295534746,6.996834e-08,0.00019069015,0.00856262,0.0011753517,0.0042675845,0.0104688695,659,0,0.4738506,0.5045837,0.05972383,0.0,0.0035477304,0.0023500065,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
295735375,295734470,6.593836e-08,0.00018255309,0.007835903,0.0009710456,0.00439799,0.009996869,659,0,0.5155073,0.5031388,0.07224733,0.0,0.004081953,0.005287903,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
295935044,295934195,6.5771495e-08,0.00017561404,0.0077944775,0.0008666989,0.0042386744,0.009247374,659,0,0.5597271,0.50170994,0.05495004,0.0,0.004637344,0.00811399,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
296134832,296133919,9.0592344e-08,0.0001827731,0.007726655,0.0008810672,0.0034551031,0.0084537165,659,0,0.60710317,0.5002511,0.07516116,0.0,0.004637344,0.012616694,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
296334441,296333650,9.0467424e-08,0.00017782094,0.0067849522,0.00070771837,0.0030591073,0.0076504713,659,0,0.6566407,0.5039797,0.06261549,0.0,0.005111902,0.01941167,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
296733969,296733096,6.419172e-08,0.00014430707,0.005034011,0.00030175323,0.002215961,0.010404672,659,0,0.7635394,0.5010774,0.010873416,0.0,0.0055697546,0.021309702,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
296933674,296932816,6.559663e-08,0.00013787886,0.004322786,0.00048152378,0.00243068,0.012262693,659,0,0.82094514,0.49964347,0.05818437,0.0,0.0058523994,0.015417505,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
297133478,297132541,6.975278e-08,0.00012639967,0.003910259,0.0012005625,0.0023205532,0.0046083913,659,0,0.8809454,0.50334394,0.13728526,0.0,0.006328765,0.009845922,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
297333201,297332266,6.0550384e-08,0.000113966336,0.003503989,0.0018013407,0.0038712455,0.017265685,659,0,0.9434166,0.50185466,0.16747493,0.0,0.0068546506,0.0231387,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
297532801,297531990,6.5199664e-08,0.000104675535,0.0031085513,0.0019312898,0.004571761,0.022052567,659,0,1.0083116,0.5003803,0.13527618,0.0,0.0072974334,0.0114542805,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
297732730,297731714,5.2067275e-08,0.000102188635,0.0029774196,0.0016472393,0.0034364683,0.016967505,659,0,1.0756359,0.5040448,0.115383506,0.0,0.0075100614,0.021875417,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
297932229,297931446,4.939147e-08,9.928396e-05,0.002980865,0.0016417415,0.0031407112,0.015551967,659,0,1.1454507,0.50254625,0.15544377,0.0,0.007490744,0.016440356,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
298131968,298131197,3.696191e-08,8.8197914e-05,0.0027404502,0.0021658805,0.003956216,0.018010657,659,0,1.2176692,0.5010709,0.21461235,0.0,0.007288438,0.020825807,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
298331925,298330889,2.79967e-08,7.4294265e-05,0.0022972606,0.0033324978,0.0064310087,0.025272958,659,0,1.2920871,0.49958983,0.30458957,0.0,0.006888302,0.023777228,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
298731109,298730385,2.0526024e-08,5.9891903e-05,0.0020139602,0.004627108,0.008095641,0.027664762,659,0,1.446568,0.50178957,0.41656747,0.0,0.009411201,0.018382892,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
298930971,298930062,1.94818e-08,5.7562138e-05,0.0019262824,0.005578919,0.010183571,0.0333135,659,0,1.5262663,0.50029826,0.46252176,0.0,0.010882678,0.030410623,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
299135624,299134780,2.1024855e-08,5.605337e-05,0.001704818,0.005745531,0.010401943,0.030746618,659,0,1.6073378,0.4988318,0.482686,0.0,0.01218571,0.00811496,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
299335464,299334504,2.1108896e-08,5.746032e-05,0.0016139965,0.006560356,0.010752717,0.032481473,659,0,1.689468,0.5025163,0.5169968,0.0,0.01334037,0.026634207,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
299534948,299534229,1.8222247e-08,5.4635973e-05,0.0014637965,0.0062994873,0.008884034,0.026244285,659,0,1.7722709,0.5010762,0.5094887,0.0,0.014005504,0.01738655,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
299734842,299733954,2.1158954e-08,4.910941e-05,0.0013550872,0.006707293,0.010140982,0.031770278,659,0,1.855495,0.49960798,0.5309778,0.0,0.014077585,0.0165253,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,165,1,0,1,0,3,0,0,0,0,0,0,0
299934633,299933680,2.2256792e-08,5.486427e-05,0.0014311747,0.0065986295,0.010330698,0.035497144,659,0,1.9389054,0.49816614,0.5087144,0.0,0.013321139,0.029672805,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,165,1,0,1,0,3,0,0,0,0,0,0,0
300134168,300133405,2.466807e-08,4.9434584e-05,0.0014006377,0.006334284,0.008942485,0.030973382,659,0,2.0223053,0.5018291,0.5219768,0.0,0.011892068,0.021934686,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,165,1,0,1,0,3,0,0,0,0,0,0,0
300334191,300333128,2.1048493e-08,4.5780518e-05,0.0012960137,0.0066898502,0.009204608,0.031151678,659,0,2.105415,0.500371,0.52625304,0.0,0.011646798,0.025208935,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,165,1,0,1,0,3,0,0,0,0,0,0,0
300533599,300532895,1.8247725e-08,4.2785497e-05,0.0012250763,0.006570855,0.007704576,0.020431092,659,0,2.214605,0.49894422,0.5533024,0.0,0.011646798,0.015437495,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,165,1,0,1,0,3,0,0,0,0,0,0,0
300733466,300732577,1.5530846e-08,3.8979917e-05,0.0011936194,0.0065655764,0.0069618574,0.017387057,659,0,2.299243,0.5026286,0.5616747,0.0,0.014117938,0.025064249,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,165,1,0,1,0,3,0,0,0,0,0,0,0
300933252,300932302,1.3067463e-08,3.8296996e-05,0.0011851628,0.007287012,0.008392186,0.020660877,659,0,2.3827274,0.50118756,0.58097017,0.0,0.016625877,0.025488272,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,165,1,0,1,0,3,0,0,0,0,0,0,0
301132814,301132027,1.27098385e-08,3.8332888e-05,0.0012150231,0.007260277,0.008667041,0.022929186,659,0,2.4647317,0.4997811,0.6081393,0.0,0.019385383,0.020424725,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,165,1,0,1,0,3,0,0,0,0,0,0,0
301332623,301331753,1.0832289e-08,3.6485057e-05,0.0011172096,0.0073078303,0.007758047,0.019300586,659,0,2.5448692,0.49838224,0.6286308,0.0,0.022357777,0.016823135,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,165,1,0,1,0,3,0,0,0,0,0,0,0
301532428,301531477,1.2007678e-08,3.6812264e-05,0.0010438802,0.008146492,0.009680109,0.024448285,659,0,2.622774,0.5020922,0.65324587,0.0,0.025340816,0.022656072,0.0,0.0,0.0,0.004993,3932170,3932170,3997730,396825,0,0,165,1,0,1,0,3,0,0,0,0,0,0,0
