timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,connected,source,priority,id,is_powering_off,warning
293830494,23.652847,23.753065,4.9223995,3.0892282,0.0,539.5745,1.0,1.0,nan,4,5.9382663,5.9382663,5.9382663,5.9382663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
294130528,23.127876,23.70228,4.5122,3.9144049,0.0,539.9857,1.0,1.0,nan,4,5.92557,5.92557,5.92557,5.92557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
294430487,23.346613,23.661068,6.6218,4.5456185,0.0,540.42206,1.0,1.0,nan,4,5.915267,5.915267,5.915267,5.915267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
294730506,23.011215,23.581524,11.1047,6.141166,0.0,541.08685,1.0,1.0,nan,4,5.895381,5.895381,5.895381,5.895381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
295030517,23.302866,23.497673,11.6321,8.676805,0.0,542.0689,1.0,1.0,nan,4,5.8744183,5.8744183,5.8744183,5.8744183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
295330743,23.317448,23.428387,12.2767,10.159384,0.0,543.0699,1.0,1.0,nan,4,5.8570967,5.8570967,5.8570967,5.8570967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
295630497,23.113295,23.32679,15.7048,12.030228,0.0,544.24994,1.0,1.0,nan,4,5.8316975,5.8316975,5.8316975,5.8316975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
295930523,23.08413,23.25302,18.0488,14.318737,0.0,545.67096,1.0,1.0,nan,4,5.813255,5.813255,5.813255,5.813255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
296230496,23.113295,23.168905,18.1367,15.874954,0.0,547.15375,1.0,1.0,nan,4,5.7922263,5.7922263,5.7922263,5.7922263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
296830516,22.661234,23.023277,20.129099,18.126152,0.0,550.28015,1.0,1.0,nan,4,5.7558193,5.7558193,5.7558193,5.7558193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
297130490,22.821644,22.9751,20.4807,19.018837,0.0,551.9571,1.0,1.0,nan,4,5.743775,5.743775,5.743775,5.743775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
297430510,22.719566,22.89902,22.1801,19.80788,0.0,553.6819,1.0,1.0,nan,4,5.724755,5.724755,5.724755,5.724755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
297730574,22.6904,22.819044,24.7292,21.438578,0.0,555.6278,1.0,1.0,nan,4,5.704761,5.704761,5.704761,5.704761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
298030621,22.471663,22.762764,22.766098,22.48638,0.0,557.6096,1.0,1.0,nan,4,5.690691,5.690691,5.690691,5.690691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
298330487,22.617487,22.744286,21.3011,22.091766,0.0,559.4153,1.0,1.0,nan,4,5.6860714,5.6860714,5.6860714,5.6860714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
298630517,22.777897,22.733713,22.561,22.24257,0.0,561.2815,1.0,1.0,nan,4,5.6834283,5.6834283,5.6834283,5.6834283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
298931957,22.51541,22.690577,20.7151,21.85089,0.0,563.07715,1.0,1.0,nan,4,5.672644,5.672644,5.672644,5.672644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
299230490,22.6904,22.711468,20.2463,20.9946,0.0,564.7362,1.0,1.0,nan,4,5.677867,5.677867,5.677867,5.677867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
299530518,22.29667,22.688717,20.8323,20.78236,0.0,566.44055,1.0,1.0,nan,4,5.672179,5.672179,5.672179,5.672179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
299830536,23.098711,22.665995,23.498598,21.339338,0.0,568.2668,1.0,1.0,nan,4,5.6664987,5.6664987,5.6664987,5.6664987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
300130490,22.967468,22.61787,22.2973,22.042711,0.0,570.17584,1.0,1.0,nan,4,5.6544676,5.6544676,5.6544676,5.6544676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
300430563,22.617487,22.600435,23.0005,22.056175,0.0,572.0095,1.0,1.0,nan,4,5.650109,5.650109,5.650109,5.650109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
300730491,22.6904,22.59272,23.0298,22.154163,0.0,573.8686,1.0,1.0,nan,4,5.64818,5.64818,5.64818,5.64818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
301030489,22.486246,22.575031,21.096,22.206978,0.0,575.7297,1.0,1.0,nan,4,5.643758,5.643758,5.643758,5.643758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
301330537,22.223759,22.562035,21.271801,22.083426,0.0,577.5551,1.0,1.0,nan,4,5.6405087,5.6405087,5.6405087,5.6405087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
301630489,22.617487,22.546328,22.9126,22.135464,0.0,579.39996,1.0,1.0,nan,4,5.636582,5.636582,5.636582,5.636582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
301930488,22.6904,22.544947,22.590302,22.02987,0.0,581.2244,1.0,1.0,nan,4,5.6362367,5.6362367,5.6362367,5.6362367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
302240488,22.646652,22.53947,23.1763,22.188477,0.0,583.14966,1.0,1.0,nan,4,5.6348677,5.6348677,5.6348677,5.6348677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
302830491,22.646652,22.53139,20.949501,22.170898,0.0,586.8038,1.0,1.0,nan,4,5.6328473,5.6328473,5.6328473,5.6328473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
