timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
294537238,102.0,101.84204,101,170,5160,6144,0,3,232
299541606,256.0039,42.625275,111,170,5011,6144,0,3,232
301543608,324.0,40.459938,113,170,3383,6144,0,3,232
303545604,390.0,38.961365,115,170,3920,6144,0,3,232
304546608,420.0,38.14395,117,170,6141,6144,0,3,232
305547627,456.0,37.962227,117,170,3729,6144,0,3,232
307549606,522.0,37.248684,120,170,3592,6144,0,3,232
308550637,552.0,36.763363,122,170,6141,6144,0,3,232
309552062,588.0,36.71243,122,170,3118,6144,0,3,232
310552609,618.0,36.316795,124,170,6140,6144,0,3,232
312554608,654.0,34.38681,132,170,6129,6144,0,3,232
313556140,690.0,34.464756,134,170,92,6144,0,3,232
314556645,719.97363,34.25028,136,170,151,6144,0,3,232
315557992,750.0,34.05638,136,170,3033,6144,0,3,232
316558760,784.7217,34.084145,137,170,377,6144,0,3,232
317561519,816.0,33.963444,140,170,148,6144,0,3,232
318564104,846.0,33.80158,140,170,2714,6144,0,3,232
319565136,880.47656,33.82617,141,170,427,6144,0,3,232
320566381,912.0,33.739426,143,170,199,6144,0,3,232
321567103,942.0,33.605152,145,170,367,6144,0,3,232
322568223,972.0,33.47968,147,170,286,6144,0,3,232
323569413,1002.0,33.362495,149,170,252,6144,0,3,232
324570752,1032.0,33.25271,150,170,379,6144,0,3,232
325571212,1062.0,33.1507,151,170,476,6144,0,3,232
326572172,1092.0,33.054367,153,170,297,6144,0,3,232
327573102,1122.0,32.963726,155,170,287,6144,0,3,232
328574116,1152.0,32.878185,157,170,422,6144,0,3,232
329575119,1182.0,32.79741,159,170,355,6144,0,3,232
330576097,1212.0,32.72102,161,170,465,6144,0,3,232
331577145,1242.0,32.648594,164,170,451,6144,0,3,232
332578146,1272.0,32.579918,166,170,501,6144,0,3,232
333579131,1302.0,32.514683,169,170,504,6144,0,3,232
334580165,1332.0,32.4526,171,170,493,6144,0,3,232
335581337,1362.0,32.393364,173,170,603,6144,0,3,232
336582127,1392.0,32.33717,174,170,661,6144,0,3,232
337583639,1422.0,32.283,175,170,350,6144,0,3,232
338584137,1452.0,32.231964,177,170,508,6144,0,3,232
339585560,1482.0,32.1825,180,170,611,6144,0,3,232
340586106,1512.0,32.135742,182,170,724,6144,0,3,232
341587183,1542.0,32.090572,184,170,756,6144,0,3,232
342588152,1572.0,32.04732,186,170,758,6144,0,3,232
343589354,1602.0,32.00565,188,170,943,6144,0,3,232
344590599,1632.0,31.965582,190,170,995,6144,0,3,232
345591822,1662.0,31.92707,192,170,945,6144,0,3,232
346592131,1692.0,31.890566,195,170,862,6144,0,3,232
347593098,1722.0,31.855024,198,170,970,6144,0,3,232
348594103,1752.0,31.82075,200,170,1081,6144,0,3,232
349595098,1782.0,31.787708,203,170,969,6144,0,3,232
350596356,1812.0,31.755674,205,170,1065,6144,0,3,232
351597187,1842.0,31.724981,207,170,1114,6144,0,3,232
352598146,1872.0,31.695263,210,170,1114,6144,0,3,232
353599111,1902.0,31.666527,211,170,1100,6144,0,3,232
354600303,1932.0,31.638617,212,170,1004,6144,0,3,232
355601240,1962.0,31.611738,214,170,1008,6144,0,3,232
356602163,1992.0,31.58572,216,170,1003,6144,0,3,232
357603102,2022.0,31.560507,217,170,1065,6144,0,3,232
358604227,2052.0,31.535976,219,170,1061,6144,0,3,232
359605132,2082.0,31.512299,222,170,1131,6144,0,3,232
360606102,2112.0,31.489292,224,170,1355,6144,0,3,232
361607103,2142.0,31.466951,226,170,1056,6144,0,3,232
362608811,2172.0,31.444939,228,170,1102,6144,0,3,232
363611707,2206.1611,31.482399,228,173,808,6144,0,3,232
364613596,2242.1172,31.544504,228,175,1325,6144,0,3,232
365614694,2280.0,31.631954,228,175,1050,6144,0,3,232
366615754,2316.0,31.69127,228,175,1212,6144,0,3,232
368617617,2358.0,31.405695,237,176,4107,6144,0,3,232
369617767,2394.0,31.466019,238,178,791,6144,0,3,232
370619663,2428.0244,31.498432,238,178,626,6144,0,3,232
371620871,2460.0,31.504057,238,178,1120,6144,0,3,232
372621604,2490.0,31.484743,241,178,1438,6144,0,3,232
373623499,2520.0,31.465464,243,178,1334,6144,0,3,232
374623791,2550.0,31.447275,245,178,1390,6144,0,3,232
375624625,2580.0,31.429327,248,178,1317,6144,0,3,232
376625603,2610.0,31.411755,251,178,1673,6144,0,3,232
377626595,2640.0,31.394596,253,178,1493,6144,0,3,232
378628502,2670.0,31.3775,256,178,1601,6144,0,3,232
379628620,2700.0,31.361462,258,178,1599,6144,0,3,232
380629799,2730.0,31.345404,260,178,1604,6144,0,3,232
381630630,2760.0,31.329836,261,178,1451,6144,0,3,232
382631695,2790.0,31.314535,262,178,1533,6144,0,3,232
