timestamp,main_state
293292002,8
293803093,8
294309617,8
294817572,8
295326981,8
295834493,8
296343491,8
296843978,8
297349501,8
297856574,8
298365494,8
298874485,8
299381491,8
299888538,8
300398698,8
300905658,8
301407578,8
301914640,8
302425099,8
302932518,8
303440737,8
303947522,8
304455488,8
304963972,8
305470705,8
305978486,8
306488516,8
306995790,8
307502487,8
308009797,8
308516486,8
309025525,8
309532487,8
310040677,8
312073741,8
312581485,8
313089971,8
313597501,8
314105317,8
314612759,8
315121485,8
315628730,8
316137284,8
316644517,8
317146156,8
317653497,8
318161762,8
318671511,8
319179486,8
319687814,8
320195571,8
320703484,8
321209548,8
321717644,8
322226526,8
322734488,8
323241542,8
323748516,8
324254863,8
324761579,8
325270634,8
325778878,8
326285547,8
326795494,8
327304487,8
327811492,8
328319524,8
328827485,8
329334989,8
329841486,8
330349330,8
330855516,8
331362739,8
331870746,8
332377493,8
332885488,8
333393984,8
333899554,8
334407019,8
334915227,8
335425946,8
335932486,8
336439172,8
336946558,8
337457839,8
337964662,8
338471728,8
338981717,8
339491060,8
339997496,8
340506487,8
341013615,8
341520919,8
342028725,8
342536504,8
343046889,8
343555119,8
344064350,8
344570591,8
345077484,8
345583536,8
346094579,8
346603146,8
347108486,8
347615511,8
348122517,8
348629591,8
349137718,8
349646492,8
350155972,8
350661521,8
351169548,8
351679528,8
352186486,8
352694488,8
353202493,8
353710805,8
354219736,8
354726517,8
355233781,8
355744315,8
356250711,8
356758521,8
357268548,8
357777063,8
358282658,8
358789489,8
359297726,8
359805492,8
360313540,8
360824179,8
361329939,8
361838486,8
362348604,8
362856927,8
363360909,8
363869485,8
364370934,8
364881562,8
365387531,8
365896598,8
366399526,8
366904858,8
367415731,8
368421495,8
368931632,8
369442507,8
369950733,8
370463428,8
370971697,8
371479564,8
371987491,8
372496671,8
373005510,8
373512519,8
374019671,8
374527741,8
375034549,8
375542560,8
376051748,8
376559255,8
377066778,8
377576486,8
378085623,8
378593490,8
379102634,8
379609771,8
380116492,8
380622487,8
381130588,8
381637846,8
382143948,8
382652824,8
383159858,8
383666507,8
384175574,8
384683626,8
385192371,8
385698518,8
386206035,8
386711491,8
387218516,8
387725633,8
388231651,8
388740686,8
389248539,8
389756780,8
390265519,8
390774682,8
391280737,8
391788126,8
392295622,8
392802493,8
393311704,8
393817488,8
394326533,8
394832832,8
395339491,8
395847670,8
396355874,8
396862492,8
397369491,8
397876519,8
