timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
313536179,313535388,0.99811643,-0.0029224236,-0.023132423,-0.056744605,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
314035942,314035798,0.9983879,0.0016844735,-0.018187389,-0.05374074,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
314536197,314536047,0.99718267,-0.0070347968,-0.020745564,-0.07174251,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
315036509,315036376,0.99645764,-0.0043065697,-0.019292641,-0.08173985,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
315536920,315536760,0.9959896,-0.009684365,-0.01937671,-0.086807154,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
316037236,316037035,0.99627554,-0.02235353,-0.011124229,-0.0825329,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
316537528,316537370,0.9961777,-0.008028653,-0.026145365,-0.082958415,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
317038053,317037913,0.9969617,-0.0069826744,-0.025336903,-0.0733262,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
317538155,317538024,0.9973088,-0.00234849,-0.017943775,-0.07104687,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
318038531,318038401,0.99656236,0.007255729,-0.026382772,-0.07819689,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
318539092,318538685,0.9955154,0.0055954535,-0.024494512,-0.09120236,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
319039137,319039012,0.9944592,-0.0073967893,-0.028787907,-0.10083387,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
319534961,319534835,0.994714,3.286528e-05,-0.02804335,-0.098780274,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
320035305,320035166,0.99517524,-0.00699591,-0.027987126,-0.09377628,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
320536396,320535616,0.99611026,-0.00357114,-0.02664164,-0.08391606,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
321036022,321035869,0.9949678,-0.008347019,-0.028052721,-0.095825106,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
321536282,321536152,0.9910031,-0.0066865818,-0.026801929,-0.13095744,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
322036624,322036483,0.9885709,-0.004532615,-0.02338816,-0.14886273,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
322532432,322532303,0.9894998,-0.0033014123,-0.017984455,-0.14337292,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
323037684,323037188,0.99067503,-0.0067609795,-0.02466799,-0.13382351,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
323537900,323537754,0.9900111,-0.00426672,-0.023228306,-0.13899729,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
324037987,324037800,0.9885373,-0.009771422,-0.021818943,-0.14907208,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
324538272,324538128,0.9886185,-0.003857067,-0.020128464,-0.14904197,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
325038595,325038458,0.9889258,-0.0034501539,-0.022750895,-0.14661634,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
325539140,325538787,0.98870975,0.0002617137,-0.021101573,-0.14835002,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
326039455,326039309,0.9888197,-0.0053047817,-0.021547992,-0.14745577,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
