timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
293448219,0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
293729543,0,0.0,-0.0,0.943662,0.0,0.0,0.0,0.0,0.0
293749799,0,0.0,-0.0,0.80046946,0.0,0.0,0.0,0.0,0.0
293813810,0,0.0,-0.0,0.3051643,0.0,0.0,0.0,0.0,0.0
293923765,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
294033546,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
294055698,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
294249064,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
294291074,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
294397504,0,0.0,-0.0,0.0,0.025700934,0.0,0.0,0.0,0.0
294439654,0,0.0,-0.0,0.0,0.02686916,0.0,0.0,0.0,0.0
294629291,0,0.0,-0.0,0.0,0.02686916,0.0,0.0,0.0,0.0
294718146,0,0.0,-0.0,0.0,0.05724299,0.0,0.0,0.0,0.0
294889166,0,0.0,-0.0,0.0,0.05724299,0.0,0.0,0.0,0.0
294910090,0,0.0,-0.0,0.0,0.05724299,0.0,0.0,0.0,0.0
294994056,0,0.0,-0.0,0.0,0.05724299,0.0,0.0,0.0,0.0
295058719,0,0.0,-0.0,0.0,0.05724299,0.0,0.0,0.0,0.0
295339552,0,0.0,-0.0,0.0,0.060747664,0.0,0.0,0.0,0.0
295368403,0,0.0,-0.0,0.0,0.07126168,0.0,0.0,0.0,0.0
295402512,0,0.0,-0.0,0.0,0.08411215,0.0,0.0,0.0,0.0
295552997,0,0.0,-0.0,0.0,0.08528037,0.0,0.0,0.0,0.0
295642181,0,0.0,-0.0,0.0,0.095794395,0.0,0.0,0.0,0.0
295707796,0,0.0,-0.0,0.0,0.10280374,0.0,0.0,0.0,0.0
295837857,0,0.0,-0.0,0.0,0.10864486,0.0,0.0,0.0,0.0
296011505,0,0.0,-0.0,0.0,0.10864486,0.0,0.0,0.0,0.0
296032337,0,0.0,-0.0,0.0,0.10864486,0.0,0.0,0.0,0.0
296138978,0,0.0,0.033175357,0.0,0.10864486,0.0,0.0,0.0,0.0
296226664,0,0.0,0.056872036,0.0,0.10864486,0.0,0.0,0.0,0.0
296336534,0,0.0,0.073459715,0.0,0.10864486,0.0,0.0,0.0,0.0
